序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
78,600262,北方股份,9.993753433227539,35.22,453082144,5987400000.0,5987400000.0,8.015777587890625,47063711,143814,143814,0,1/1,1,专用设备,2026-01-28
42,001360,南矿集团,10.003718376159668,29.58,410033104,2419086298.68,6034320000.0,17.761184692382812,52436466,110533,110533,0,1/1,1,专用设备,2026-01-28
63,603680,今创集团,10.006333351135254,17.37,253399732,13613194982.79,13613195000.16,1.9601128101348877,42451376,134027,134027,0,1/1,1,交运设备,2026-01-28
3,001376,百通能源,10.019742965698242,22.29,120201121,4764550201.7699995,10273461000.0,2.5228219032287598,86429475,092500,092500,0,1/1,1,公用事业,2026-01-28
22,600313,农发种业,10.058309555053711,7.55,1258676656,8170599905.65,8170599852.8,15.735953330993652,43804345,095408,133633,5,1/1,1,农牧饲渔,2026-01-28
15,003042,中农联合,10.0,25.41,341219104,3236363580.45,3620416800.0,10.929339408874512,349613903,093636,093636,0,4/4,4,农药兽药,2026-01-28
6,002455,百川股份,9.986129760742188,7.93,497953040,4117491473.42,4712469238.88,12.146289825439453,49110585,093027,095745,2,1/1,1,化学制品,2026-01-28
9,002440,闰土股份,10.030706405639648,10.75,734875424,10173355691.75,12082998968.0,7.260420322418213,71993631,093221,095527,3,1/1,1,化学制品,2026-01-28
13,603188,亚邦股份,9.937888145446777,5.31,132794607,3027602700.0,3027602700.0,4.436080455780029,41990418,093547,094211,1,1/1,1,化学制品,2026-01-28
26,300798,锦鸡股份,20.050125122070312,9.58,745296640,3653876578.78,4491634195.52,21.391536712646484,48009135,100112,100112,0,1/1,1,化学制品,2026-01-28
25,600230,沧州大化,10.005293846130371,20.78,566470128,8602109891.7,8602109746.24,6.835359573364258,66101034,100052,100052,0,1/1,1,化学制品,2026-01-28
11,600352,浙江龙盛,9.99254322052002,14.75,1362161232,47986644935.0,47986644876.0,2.8540568351745605,253003903,093437,100001,1,1/1,1,化学制品,2026-01-28
34,603077,和邦生物,10.15625,2.82,1492762496,24904912422.96,24904912389.12,6.196855068206787,75484888,103122,103249,1,1/1,1,化学原料,2026-01-28
7,002119,康强电子,10.020201683044434,27.23,3907376112,10218983320.0,10218983320.0,38.81442642211914,53147160,093042,142427,13,2/2,2,半导体,2026-01-28
10,688216,气派科技,19.992935180664062,33.97,137186345,3610528795.85,3630706975.85,3.8925554752349854,68479137,093406,093406,0,1/1,1,半导体,2026-01-28
79,002842,翔鹭钨业,9.992372512817383,28.84,1978213456,7742452991.56,9435652477.44,27.32192611694336,9093252,145315,145315,0,3/2,1,小金属,2026-01-28
71,600459,贵研铂业,10.008271217346191,26.6,2596156944,20208186462.8,20210869392.0,13.36892032623291,3285632,140454,145636,12,1/1,1,小金属,2026-01-28
43,000962,东方钽业,9.997443199157715,43.02,1311418192,21581601412.5,21719260981.440002,6.288642883300781,116811130,110615,110615,0,1/1,1,小金属,2026-01-28
38,600170,上海建工,10.034602165222168,3.18,1891317216,28257288385.920002,28257288284.16,6.945706844329834,181423909,104430,104430,0,1/1,1,工程建设,2026-01-28
60,601068,中铝国际,9.933774948120117,6.64,425617632,16995682028.88,19839232846.079998,2.6005141735076904,85491739,130256,130256,0,1/1,1,工程建设,2026-01-28
33,000573,粤宏远Ａ,9.977324485778809,4.85,487259232,3069879372.1499996,3095660948.7999997,16.062711715698242,163085183,101918,112339,2,1/1,1,房地产开,2026-01-28
1,000620,盈新发展,10.059171676635742,3.72,310605072,17378905591.8,21843152424.960003,1.7872533798217773,407527528,092500,092500,0,1/1,1,房地产开,2026-01-28
73,000603,盛达资源,10.006540298461914,67.28,4431012096,44856676633.520004,46421137464.32,10.361719131469727,38222440,143009,145045,2,4/3,1,有色金属,2026-01-28
47,002114,罗平锌电,10.019268035888672,11.42,530313344,3693123198.66,3693173914.88,15.084721565246582,88698009,111439,111439,0,1/1,1,有色金属,2026-01-28
45,000630,铜陵有色,10.013175010681152,8.35,8998920704,93044145607.5,111969086924.79999,10.053581237792969,361645973,111136,111136,0,4/3,1,有色金属,2026-01-28
75,000878,云南铜业,10.020533561706543,26.79,4968209920,53676261211.83,60540140158.56,9.614877700805664,34369051,143151,145251,4,1/1,1,有色金属,2026-01-28
53,000737,北方铜业,10.0,18.7,3972982944,35614863592.0,35618197278.4,11.5572509765625,70378291,112433,135018,13,1/1,1,有色金属,2026-01-28
12,601388,怡球资源,9.972298622131348,3.97,445732448,8738853785.52,8738853817.28,5.1866655349731445,106924680,093456,093917,1,1/1,1,有色金属,2026-01-28
37,000758,中色股份,10.024450302124023,9.0,2226073920,17785505880.0,17913959424.0,12.93797779083252,38005200,104003,134221,9,1/1,1,有色金属,2026-01-28
49,603132,金徽股份,10.019841194152832,22.18,975629008,21692040000.0,21692040000.0,4.846744060516357,7676498,111611,144144,3,3/3,3,有色金属,2026-01-28
35,002578,闽发铝业,9.913793563842773,5.1,762992320,4391929061.099999,4787013897.599999,17.86688232421875,33017910,103727,111242,3,1/1,1,有色金属,2026-01-28
64,600219,南山铝业,9.943977355957031,7.85,4854941440,90147057238.15,90147056806.4,5.545525074005127,9490406,134639,145527,9,1/1,1,有色金属,2026-01-28
36,601600,中国铝业,10.022607803344727,14.6,11718403840,192331131496.6,250472229068.8,6.299041748046875,495087372,103727,112124,9,1/1,1,有色金属,2026-01-28
32,002160,常铝股份,10.081300735473633,6.77,747593568,6978038640.53,6991928507.36,11.073516845703125,91461359,101915,102415,3,1/1,1,有色金属,2026-01-28
59,600490,鹏欣资源,10.039369583129883,11.18,2415828736,22277507095.48,24740077464.96,11.1797456741333,11761360,130238,145508,10,1/1,1,有色金属,2026-01-28
58,601702,华峰铝业,10.0,26.07,589829104,26031692742.0,26031692950.56,2.344611883163452,67067682,130135,130135,0,4/2,1,有色金属,2026-01-28
74,600961,株冶集团,10.013117790222168,25.16,1224563248,18915599933.68,26993477232.64,6.764357089996338,6206821,143055,144925,2,1/1,1,有色金属,2026-01-28
66,002532,天山铝业,9.978768348693848,20.72,2073057200,85094086405.44,95907441745.92,2.5422844886779785,8378753,135212,144233,8,1/1,1,有色金属,2026-01-28
29,000751,锌业股份,10.061920166015625,7.11,1655170704,10024167018.69,11487133509.12,17.18339729309082,117141622,100639,101312,2,4/3,1,有色金属,2026-01-28
30,600531,豫光金铅,10.00487995147705,22.54,3741275632,27256781212.92,27256781348.16,14.171387672424316,170775369,101619,103346,8,4/4,4,有色金属,2026-01-28
56,000807,云铝股份,9.990917205810547,36.33,4023741760,125989571782.82999,125990892632.64,3.312800884246826,26384299,130051,134524,13,1/1,1,有色金属,2026-01-28
28,601212,白银有色,10.039840698242188,13.81,5408662272,102259935996.91,102259934464.0,5.42294979095459,779317495,100220,100656,2,7/7,7,有色金属,2026-01-28
18,000599,青岛双星,9.95106029510498,6.74,252041294,5504862054.88,5504955606.08,4.667200088500977,43734356,094003,094003,0,1/1,1,橡胶制品,2026-01-28
72,601799,星宇股份,10.0,131.67,1253903280,37615409099.729996,37615409758.079994,3.456583023071289,12956328,140731,144404,5,1/1,1,汽车零部,2026-01-28
68,601015,陕西黑猫,9.923664093017578,4.32,558204144,8823589800.480001,8823589770.24,6.5453290939331055,21496756,135900,140954,2,1/1,1,煤炭行业,2026-01-28
67,600740,山西焦化,10.0,4.4,473754320,11273333077.6,11273333068.800001,4.3318867683410645,75230399,135630,135630,0,1/1,1,煤炭行业,2026-01-28
41,301500,飞南资源,20.011369705200195,21.11,1019507168,3040909601.48,11862806720.0,35.83894348144531,27459613,110218,110218,0,1/1,1,环保行业,2026-01-28
