序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
13,605398,新炬网络,10.009878158569336,33.41,164232393,5436354222.389999,5436354222.389999,3.090174436569214,101111355,093407,093407,0,1/1,1,IT服务Ⅱ,2026-02-27
40,688343,云天励飞-U,20.004352569580078,110.26,5352184064,29175561204.4,39649868237.76,19.144527435302734,59062202,105528,144219,14,1/1,1,IT服务Ⅱ,2026-02-27
44,002356,赫美集团,9.895833969116211,4.22,532619616,5533462428.62,5533494108.16,9.93756103515625,53537992,111330,111330,0,1/1,1,一般零售,2026-02-27
29,600397,江钨装备,10.015329360961914,21.53,2056080608,21313836259.460003,21313836388.64,9.923998832702637,127309043,102002,102936,3,7/5,1,专用设备,2026-02-27
63,603738,泰晶科技,10.0,21.78,1261529952,8404629575.76,8404629488.64,15.593528747558594,6231236,133834,143852,4,1/1,1,元件,2026-02-27
15,002865,钧达股份,10.00118350982666,92.94,2575651584,20899026708.48,28929066501.12,12.54126262664795,211033374,093415,100736,2,1/1,1,光伏设备,2026-02-27
26,603381,永臻股份,9.99254322052002,29.5,274914256,4193061737.0,6999061617.0,6.8464226722717285,121672425,100504,100504,0,1/1,1,光伏设备,2026-02-27
59,002734,利民股份,9.980430603027344,22.48,1994915872,9764093471.6,10696874927.36,20.948728561401367,36912587,132651,145636,1,1/1,1,农化制品,2026-02-27
55,000731,四川美丰,10.041841506958008,7.89,477176432,4330236351.0,4330236382.559999,11.363286972045898,34573230,132342,133803,2,1/1,1,农化制品,2026-02-27
7,002470,金正大,9.929078102111816,3.1,3291443216,10185823192.7,10186686006.4,33.02882385253906,41268139,093030,145309,4,7/5,4,农化制品,2026-02-27
35,003018,金富科技,10.02070426940918,26.57,437890272,2603300037.25,6908200000.0,17.869569778442383,45880730,104103,104103,0,1/1,1,包装印刷,2026-02-27
72,600230,沧州大化,9.99555778503418,24.76,932633792,10249674731.400002,10249674558.08,9.564615249633789,73536556,142618,142618,0,3/2,1,化学制品,2026-02-27
70,603217,元利科技,10.019416809082031,28.33,255662100,5895121708.0,5895121708.0,4.471259593963623,89985032,141102,141102,0,1/1,1,化学制品,2026-02-27
43,000510,新金路,10.02695369720459,20.41,1297430928,12382028914.97,13236774549.44,10.85008430480957,73013039,111321,133042,2,1/1,1,化学原料,2026-02-27
45,002628,成都路桥,10.02087688446045,5.27,386601104,3972445906.5399995,3989919192.3199997,10.03307056427002,70790550,111354,111354,0,1/1,1,基础建设,2026-02-27
34,603093,南华期货,10.0167875289917,19.66,370640640,11993895456.38,14110471455.36,3.1804652214050293,97442430,103522,103522,0,1/1,1,多元金融,2026-02-27
48,603226,菲林格尔,9.989630699157715,31.82,206993710,11311748121.4,11311748312.32,1.8705350160598755,71023258,130029,130029,0,1/1,1,家居用品,2026-02-27
75,001216,华瓷股份,10.010649681091309,20.66,515431200,5073129091.34,5203566022.0,10.575779914855957,122671559,145239,145239,0,1/1,1,家居用品,2026-02-27
71,603578,三星新材,9.979352951049805,15.98,173845361,2882105371.36,2882105371.36,6.3510823249816895,73954672,141434,141434,0,1/1,1,家电零部,2026-02-27
28,002167,东方锆业,10.028247833251953,15.58,1293734432,11800322583.54,12069409951.68,11.228569030761719,150887501,101639,101639,0,1/1,1,小金属,2026-02-27
57,600459,贵研铂业,10.0,25.85,1819471824,19638406769.3,19641014052.0,9.50865364074707,62898556,132421,135654,1,1/1,1,小金属,2026-02-27
61,000657,中钨高新,10.0,66.22,6175451904,96212716147.24,150889183368.0,6.56651496887207,87968700,133048,133048,0,3/2,1,小金属,2026-02-27
62,601958,金钼股份,10.0,24.53,1840975408,79148605932.0,79148605932.0,2.3816158771514893,38795813,133338,141053,3,1/1,1,小金属,2026-02-27
73,600301,华锡有色,10.005096435546875,64.76,1020044752,17830738701.56,40965069486.72,5.894161224365234,106627016,142851,142851,0,3/2,1,小金属,2026-02-27
56,600549,厦门钨业,10.004704475402832,70.15,5978603008,109008328397.00002,111369145553.6,5.606158256530762,218425002,132354,132354,0,1/1,1,小金属,2026-02-27
64,000960,锡业股份,9.992561340332031,44.36,3850568640,73007774590.72,73007774590.72,5.399864196777344,65788275,134121,134454,2,1/1,1,小金属,2026-02-27
38,600259,中稀有色,10.0,102.08,1838099312,34343377692.8,34343377080.32,5.4771504402160645,127105422,104619,111525,10,1/1,1,小金属,2026-02-27
24,600456,宝钛股份,9.995039939880371,44.35,1959291440,21189433854.65,21189433721.600002,9.402636528015137,44260634,094931,142755,3,1/1,1,小金属,2026-02-27
18,002378,章源钨业,9.99729061126709,40.6,1590186224,48521927581.4,48777557158.4,3.3429267406463623,258991987,093636,093636,0,7/5,3,小金属,2026-02-27
11,002842,翔鹭钨业,10.005293846130371,41.56,1701046480,11157293562.04,13597285608.960001,15.426767349243164,174162000,093239,093651,4,1/1,1,小金属,2026-02-27
21,002182,宝武镁业,9.994952201843262,21.79,670291856,18859516525.19,21611137918.079998,3.6286733150482178,112861305,094224,094224,0,1/1,1,小金属,2026-02-27
69,603257,中国瑞林,10.001655578613281,66.43,402322848,1654107000.0000002,7971600000.000001,25.085779190063477,122464170,141010,141010,0,1/1,1,工程咨询,2026-02-27
41,000628,高新发展,10.0,57.31,1271899488,11017193306.35,20189166800.0,11.947731971740723,137386684,110009,110009,0,1/1,1,房屋建设,2026-02-27
23,600126,杭钢股份,9.955751419067383,9.94,2125425120,33569259485.019997,33569259534.719997,6.460702896118164,128376849,094758,095258,1,1/1,1,普钢,2026-02-27
30,001209,洪兴股份,10.013531684875488,32.52,585010784,3124997562.7200003,4277118854.4000006,20.858444213867188,389252530,102039,102039,0,3/3,3,服装家纺,2026-02-27
6,603950,长源东谷,10.009886741638184,44.51,220657201,14403738668.0,14427061908.0,1.5427957773208618,44443235,093029,093029,0,6/3,2,汽车零部,2026-02-27
39,603629,利通电子,10.0,58.52,2186401120,15030979040.0,15354477600.0,15.149689674377441,47862571,104700,133233,6,1/1,1,消费电子,2026-02-27
42,002655,共达电声,10.025707244873047,17.12,845167680,6193898728.0,6195592409.6,14.247267723083496,138660016,110851,110851,0,1/1,1,消费电子,2026-02-27
31,603353,和顺石油,10.0,42.13,351093840,7179710340.0,7242399780.0,4.987166881561279,62699551,102218,102218,0,1/1,1,炼化及贸,2026-02-27
60,603318,水发燃气,10.013717651367188,8.02,433640400,3681748810.48,3681748842.56,12.131327629089355,22160062,132855,143804,3,1/1,1,燃气Ⅱ,2026-02-27
58,000593,德龙汇能,9.993012428283691,15.74,527072400,5642525080.06,5644852065.92,9.868439674377441,187970228,132603,132603,0,3/2,1,燃气Ⅱ,2026-02-27
47,603117,万林物流,9.963099479675293,5.96,194066532,3571218542.32,3571218554.24,5.635628700256348,73662739,111548,111548,0,1/1,1,物流,2026-02-27
1,000035,中国天楹,10.047096252441406,7.01,483284416,16214310493.48,16740109703.68,2.9823577404022217,160563327,092500,094312,1,1/1,1,环境治理,2026-02-27
53,002973,侨银股份,10.021171569824219,15.59,187207012,4856790131.59,6371097951.2,4.002668857574463,86688195,130542,130542,0,1/1,1,环境治理,2026-02-27
10,600744,华银电力,9.972298622131348,7.94,1757915488,16127126735.560001,16127126719.68,11.038037300109863,185824576,093154,093721,3,2/2,2,电力,2026-02-27
8,001896,豫能控股,9.975268363952637,13.34,1683749712,20353922942.2,20353922915.52,8.389528274536133,166036269,093054,093536,3,7/7,7,电力,2026-02-27
54,000993,闽东电力,9.984756469726562,14.43,506263136,6345557463.96,6608239510.08,8.373796463012695,97510248,130957,130957,0,1/1,1,电力,2026-02-27
5,000899,赣能股份,10.015060424804688,14.61,517670960,14254652073.6,14254652073.6,3.6748218536376953,140661588,093015,093015,0,3/3,3,电力,2026-02-27
52,600452,涪陵电力,10.024855613708496,13.28,1693488784,20405273165.12,20405273085.44,8.490349769592285,26515073,130429,141808,7,1/1,1,电力,2026-02-27
51,003035,南网能源,10.0401611328125,8.22,1555397232,31136363629.140003,31136363604.480003,5.175259590148926,83700602,130415,130415,0,4/2,1,电力,2026-02-27
36,600821,金开新能,9.970237731933594,7.39,2437367280,14759776917.67,14759776939.84,16.86674690246582,106400628,104110,111934,3,1/1,1,电力,2026-02-27
46,002015,协鑫能科,10.023309707641602,14.16,1701247728,22986276534.24,22986276449.28,7.682446002960205,109150335,111427,111427,0,1/1,1,电力,2026-02-27
