序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
15,920305,云创退,28.571430206298828,0.72,9992910,58392630.0,95310810.0,18.05392074584961,1535829,093928,094828,2,1/1,1,IT服务Ⅱ,2026-07-13
26,600536,中国软件,9.993178367614746,32.25,1794903264,27207902613.75,30114617592.0,6.832308769226074,95228606,133317,144708,2,1/1,1,IT服务Ⅱ,2026-07-13
4,601608,中信重工,9.920635223388672,5.54,1123061088,25370726040.98,25370726589.44,4.47454833984375,63348570,092501,111019,2,2/2,2,专用设备,2026-07-13
20,001395,亚联机械,9.989521980285645,31.49,357072176,1637684685.0,3571343880.0,22.382909774780273,5511127,100945,145324,4,3/3,3,专用设备,2026-07-13
18,600671,天目药业,9.994794845581055,21.13,198895281,2573011362.29,2573187840.0499997,7.849224090576172,10719249,094823,132532,6,1/1,1,中药Ⅱ,2026-07-13
19,300534,陇神戎发,20.0,9.0,461973280,2718463392.0,2730105072.0,17.50963020324707,17234550,100045,130412,2,1/1,1,中药Ⅱ,2026-07-13
16,000989,九芝堂,10.049019813537598,8.98,670064704,6233500701.940001,7686359303.68,10.915902137756348,63168247,094003,143448,2,1/1,1,中药Ⅱ,2026-07-13
9,603933,睿能科技,10.01780891418457,24.71,350383984,5128426448.25,5128426448.25,6.8773603439331055,39931360,093058,101346,6,3/2,1,其他电子,2026-07-13
13,003030,祖名股份,10.01846694946289,23.83,202676872,1929251182.7499998,2973507400.0,10.622794151306152,11283505,093809,140724,2,1/1,1,农产品加,2026-07-13
12,603120,肯特催化,10.00399398803711,55.09,151726255,2087911000.0000002,4980136000.0,7.426437854766846,38338067,093740,093740,0,1/1,1,化学制品,2026-07-13
2,300214,日科化学,20.0,12.3,78228418,5718302152.200001,5718302078.400001,1.3680357933044434,95736631,092500,092500,0,1/1,1,化学制品,2026-07-13
17,603065,宿迁联盛,10.025707244873047,21.4,875866000,8965906040.8,8965905955.199999,9.96724796295166,24515840,094457,100218,1,1/1,1,化学制品,2026-07-13
10,600664,哈药股份,10.089020729064941,3.71,737706224,9343671639.96,9343671625.12,7.99545955657959,80657733,093422,093925,3,2/2,2,化学制药,2026-07-13
23,603669,灵康药业,10.032362937927246,6.8,440130688,4843851922.0,4843851942.4,9.315239906311035,14773700,103855,111628,1,1/1,1,化学制药,2026-07-13
28,600513,联环药业,10.00645637512207,17.04,674830720,4864174840.8,4864174874.88,14.863152503967285,56189400,135532,135532,0,2/2,2,化学制药,2026-07-13
7,003020,立方制药,9.978654861450195,20.61,339069040,3473779535.5499997,4703585716.98,9.849631309509277,82963494,093015,093424,1,3/3,3,化学制药,2026-07-13
22,000920,沃顿科技,10.039215087890625,14.03,657440320,6630558610.54,6630874313.599999,10.153496742248535,32307372,102518,112021,8,2/2,2,塑料,2026-07-13
29,603313,梦百合,10.055096626281738,7.99,564258160,4558989211.150001,4558989171.2,12.985259056091309,47435383,145338,145338,0,4/2,1,家居用品,2026-07-13
24,603677,奇精机械,10.03184700012207,13.82,60387649,2661743954.3,2661743954.3,2.359833002090454,64936034,105423,105423,0,1/1,1,家电零部,2026-07-13
21,002379,宏桥控股,10.034602165222168,15.9,947477168,18068342672.7,207194781542.4,5.3624677658081055,83544960,101706,141815,4,1/1,1,工业金属,2026-07-13
25,600629,华建集团,10.039215087890625,14.03,678286928,16131762438.34,16131762466.4,4.422183990478516,69095968,131154,132015,1,2/2,2,工程咨询,2026-07-13
6,605090,九丰能源,10.005266189575195,41.78,2351837088,29435136723.04,29493181844.16,7.991041660308838,93332509,092503,141945,6,2/2,2,燃气Ⅱ,2026-07-13
5,603318,水发燃气,10.038609504699707,8.55,87558849,3925056400.2000003,4742455996.8,2.230766534805298,128414151,092502,092502,0,1/1,1,燃气Ⅱ,2026-07-13
27,001388,信通电子,9.996270179748535,29.49,122774083,2493072096.24,4657945500.0,5.0719451904296875,90857097,133515,133515,0,1/1,1,电网设备,2026-07-13
14,600881,亚泰集团,10.0,1.65,170447280,5333049130.2,5333049136.799999,3.2306113243103027,27793829,093834,094213,1,1/1,1,综合Ⅱ,2026-07-13
11,603137,恒尚节能,10.018691062927246,29.43,782260608,5383728019.62,5383728019.62,15.17411994934082,45146208,093707,134504,6,10/9,1,装修装饰,2026-07-13
1,000004,国华退,10.8695650100708,0.51,1779195,64407424.68,67513943.82000001,2.76240611076355,2281221,092500,092500,0,11/7,3,软件开发,2026-07-13
8,601002,晋亿实业,9.977324485778809,4.85,128748534,4629037492.0,4629037492.0,2.789496898651123,14768764,093021,132957,1,1/1,1,通用设备,2026-07-13
3,600992,贵绳股份,10.046948432922363,11.72,63778201,2872454800.0,2872454800.0,2.2203378677368164,103667783,092501,092501,0,3/3,3,通用设备,2026-07-13
