序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
2,688207,格灵深瞳,20.0114688873291,20.93,20.93,934822160,5420307966.71,5420307966.71,18.583498001098633,0.0,是,4.286818027496338,2/2,60日新高且近期多次涨停,IT服务Ⅱ,2026-06-09
128,002421,达实智能,-0.5235602259635925,5.7,6.3,5607210240,11419249960.2,12087315302.4,48.32543182373047,-0.3496503531932831,是,1.5633330345153809,18/10,60日新高且近期多次涨停,IT服务Ⅱ,2026-06-09
84,603859,XD能科科,6.3680195808410645,52.95,54.76,2720804288,12956743267.95,12956743267.95,21.4901123046875,0.0,是,3.027315139770508,3/2,60日新高且近期多次涨停,IT服务Ⅱ,2026-06-09
127,920227,美登科技,-0.19117647409439087,67.87,88.4,98752257,1202535387.79,2642959605.0,8.132686614990234,-0.17649655044078827,是,1.1146973371505737,0/0,60日新高,IT服务Ⅱ,2026-06-09
143,600280,中央商场,-8.55614948272705,3.42,4.11,574441952,3858904974.96,3858904961.2799997,14.750144958496094,-0.29154521226882935,否,0.9278745651245117,8/4,近期多次涨停,一般零售,2026-06-09
138,000759,中百集团,-3.987240791320801,6.02,6.9,698644240,3947350270.4999995,3988030775.68,17.657939910888672,-0.4958677589893341,否,1.4478667974472046,3/2,近期多次涨停,一般零售,2026-06-09
56,002051,中工国际,9.982014656066895,12.23,12.23,642729952,14999017842.75,14999888948.960001,4.406754016876221,0.0,否,0.7397555708885193,4/2,近期多次涨停,专业工程,2026-06-09
47,603929,亚翔集成,10.0,205.81,205.81,671810736,43911621600.0,43911621600.0,1.538894772529602,0.0,否,0.41744446754455566,2/2,近期多次涨停,专业工程,2026-06-09
108,301228,实朴检测,3.985460042953491,80.1,92.44,456701056,9567167549.4,9612000000.0,4.936557769775391,0.0,是,1.072396159172058,0/0,60日新高,专业服务,2026-06-09
71,301128,强瑞技术,8.311569213867188,165.89,183.79,2183694976,24023821192.42,24023821192.42,9.547606468200684,0.0,是,1.3081966638565063,0/0,60日新高,专用设备,2026-06-09
