序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
59,301396,宏景科技,6.300653457641602,203.3,229.5,3175356128,15467282344.2,31210117305.100002,21.060361862182617,0.0,是,1.239536166191101,0/0,60日新高,IT服务Ⅱ,2026-04-09
10,600743,华远控股,10.045661926269531,2.41,2.41,425000368,5654103106.34,5654103120.8,8.038722038269043,0.0,是,4.019502639770508,3/3,60日新高且近期多次涨停,一般零售,2026-04-09
71,603637,镇海股份,5.375552177429199,14.31,14.94,382668416,3415594899.87,3415594899.87,11.413166999816895,0.0,是,2.464470624923706,0/0,60日新高,专业工程,2026-04-09
37,605178,时空科技,9.587142944335938,79.1,79.4,634356464,7837227999.999999,7837227999.999999,8.186758041381836,-0.25220680236816406,是,2.840701103210449,0/0,60日新高,专业工程,2026-04-09
32,601133,柏诚股份,9.98217487335205,24.68,24.68,922303888,3686864841.92,13031494901.76,25.964561462402344,0.0,是,1.0808706283569336,6/3,60日新高且近期多次涨停,专业工程,2026-04-09
165,002051,中工国际,-0.26019081473350525,11.5,12.68,2797509408,14229383745.5,14230202856.0,18.682235717773438,-0.26019081473350525,是,2.3023321628570557,5/3,60日新高且近期多次涨停,专业工程,2026-04-09
171,300022,吉峰科技,-0.7912957072257996,10.03,12.13,318441088,4957084573.4,4957231051.5199995,6.444989204406738,0.0,是,0.8539785742759705,0/0,60日新高,专业连锁,2026-04-09
137,603289,泰瑞机器,1.2605042457580566,12.05,13.09,125061588,3535354163.3500004,3535354127.2000003,3.563753366470337,0.0,是,1.3054531812667847,0/0,60日新高,专用设备,2026-04-09
147,688700,东威科技,0.9262436032295227,58.84,69.96,997469280,17557936022.4,17557936022.4,5.651749610900879,0.0,是,1.0566707849502563,0/0,60日新高,专用设备,2026-04-09
51,301053,远信工业,7.559999942779541,53.78,60.0,542547216,4574699380.02,4945880819.24,12.045259475708008,0.0,是,1.0127323865890503,0/0,60日新高,专用设备,2026-04-09
110,301128,强瑞技术,2.5684502124786377,163.33,191.09,1166663584,14410827375.480001,16895062629.1,8.089411735534668,0.0,是,0.8921200037002563,0/0,60日新高,专用设备,2026-04-09
55,688383,新益昌,6.991120338439941,95.19,106.76,287240224,9675730335.0,9675730335.0,2.999703884124756,0.0,是,1.0863622426986694,0/0,60日新高,专用设备,2026-04-09
