序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
67,300674,宇信科技,5.266203880310059,18.19,20.74,1028549376,12791599903.550001,12806797848.640001,7.887687683105469,0.0,是,2.187398910522461,0/0,60日新高,IT服务Ⅱ,2026-09-04
3,300300,海峡创新,16.01016616821289,9.13,9.44,1366817056,6087971648.000001,6088313621.280001,23.440523147583008,0.0,是,3.396040201187134,0/0,60日新高,IT服务Ⅱ,2026-09-04
5,920748,路桥信息,14.408177375793457,34.7,39.42,230774305,2187838470.0,2662878000.0,10.401135444641113,-0.14388489723205566,是,1.7575459480285645,0/0,60日新高,IT服务Ⅱ,2026-09-04
30,605398,新炬网络,9.983498573303223,26.66,26.66,109420985,4338018664.14,4338018664.14,2.5223724842071533,0.0,是,1.8036781549453735,2/2,60日新高且近期多次涨停,IT服务Ⅱ,2026-09-04
162,301208,中亦科技,1.0928961038589478,31.45,37.33,69896192,2120386047.0,3774001887.0,3.2397093772888184,0.0,是,1.0527193546295166,0/0,60日新高,IT服务Ⅱ,2026-09-04
227,003005,竞业达,-9.985387802124023,18.48,22.58,895051152,2479917594.0,4276063009.6800003,35.21451187133789,0.0,否,2.297553777694702,6/4,近期多次涨停,IT服务Ⅱ,2026-09-04
159,301085,亚康股份,1.147169828414917,67.01,79.5,702674688,4002113616.2500005,5814837981.75,17.360862731933594,0.0,是,1.716322660446167,0/0,60日新高,IT服务Ⅱ,2026-09-04
207,600828,茂业商业,-2.5490195751190186,4.97,5.61,664208208,8604860099.57,8607953243.68,7.861899375915527,0.0,是,2.88822078704834,4/2,60日新高且近期多次涨停,一般零售,2026-09-04
98,000058,深 赛 格,3.7302725315093994,7.23,7.67,155969581,7119664987.17,8901580858.560001,2.178576707839966,0.0,是,2.3929715156555176,0/0,60日新高,一般零售,2026-09-04
102,601086,国芳集团,3.6036036014556885,12.65,13.43,1550122864,8424900000.0,8424900000.0,19.603240966796875,0.0,是,4.737260818481445,6/5,60日新高且近期多次涨停,一般零售,2026-09-04
124,002561,徐家汇,2.67983078956604,7.28,7.8,61908878,3017120047.76,3026754698.2400002,2.062575578689575,0.0,是,1.6849397420883179,0/0,60日新高,一般零售,2026-09-04
138,600415,小商品城,2.1011672019958496,13.12,14.14,910907168,71944297045.12,71944296284.15999,1.274641990661621,0.0,是,1.281841516494751,0/0,60日新高,一般零售,2026-09-04
156,600628,新世界,1.257861614227295,6.44,7.0,68734630,4165877472.96,4165877524.48,1.6536197662353516,0.0,是,1.501756191253662,0/0,60日新高,一般零售,2026-09-04
193,600693,东百集团,-0.9963768720626831,10.93,12.14,2059559200,9497653907.26,9507419403.199999,21.662992477416992,0.0,是,2.0566720962524414,4/2,60日新高且近期多次涨停,一般零售,2026-09-04
31,600865,百大集团,9.980620384216309,11.35,11.35,602024512,4270327586.6,4270327632.0,15.303146362304688,0.0,是,3.359715461730957,2/2,60日新高且近期多次涨停,一般零售,2026-09-04
163,000715,中兴商业,1.0676156282424927,5.68,6.18,62948311,2761792392.4,3069668664.3199997,2.2700862884521484,0.0,是,0.9867942333221436,0/0,60日新高,一般零售,2026-09-04
145,603183,建研院,1.878914475440979,4.88,5.27,137613633,2426107864.88,2426107850.24,5.608798027038574,0.0,是,2.2413618564605713,0/0,60日新高,专业服务,2026-09-04
48,300662,科锐国际,6.904762268066406,22.45,25.2,239698085,4408487080.75,4418302759.55,5.469028949737549,0.0,是,1.8425787687301636,0/0,60日新高,专业服务,2026-09-04
52,300860,锋尚文化,6.363312721252441,29.92,33.76,241881053,3273753917.28,5638445632.16,7.320373058319092,0.0,是,4.153980731964111,0/0,60日新高,专业服务,2026-09-04
206,300865,大宏立,-2.4852070808410645,32.96,40.56,189749400,2048176424.0,3153612800.0,9.00659465789795,0.0,是,1.2661023139953613,0/0,60日新高,专用设备,2026-09-04
208,002209,达 意 隆,-2.6049203872680664,13.46,15.2,80954882,2124644686.48,2752974473.0,3.7629995346069336,0.0,是,0.7752561569213867,0/0,60日新高,专用设备,2026-09-04
169,001288,运机集团,0.6302521228790283,28.74,31.42,141111882,4364829358.98,6718373135.219999,3.2036378383636475,0.0,是,0.48579758405685425,0/0,60日新高,专用设备,2026-09-04
61,301056,森赫股份,5.8655219078063965,14.8,16.78,136521436,2604738284.0,3948442671.6000004,5.2051801681518555,0.0,是,1.05429208278656,0/0,60日新高,专用设备,2026-09-04
43,301105,鸿铭股份,7.429171562194824,51.19,57.18,105236441,1014201772.62,2559500000.0,10.433313369750977,0.0,是,3.0050604343414307,0/0,60日新高,专用设备,2026-09-04
223,600479,千金药业,-7.784011363983154,13.15,15.69,1380256416,5503368588.55,6472561710.400001,24.660371780395508,0.0,否,0.8854469060897827,8/5,近期多次涨停,中药Ⅱ,2026-09-04
116,301001,凯淳股份,2.8708133697509766,25.8,30.1,87119404,1265275860.0,2064000000.0,6.808695316314697,0.0,是,2.3150527477264404,0/0,60日新高,互联网电,2026-09-04
35,603613,国联股份,9.360127449035645,20.68,20.8,810266160,14900721972.84,14900721869.44,5.479238510131836,0.0,是,3.9733128547668457,0/0,60日新高,互联网电,2026-09-04
170,601601,中国太保,0.499412477016449,34.21,37.44,1816186576,234168868175.55002,329111882851.84,0.77121901512146,0.0,是,1.0140233039855957,0/0,60日新高,保险Ⅱ,2026-09-04
176,601318,中国平安,0.41379308700561523,58.24,63.8,4573926400,620842190433.92,1054589076602.88,0.7350350022315979,0.0,是,1.027756690979004,0/0,60日新高,保险Ⅱ,2026-09-04
166,300708,聚灿光电,0.9456264972686768,8.54,10.15,229920828,6161023413.0199995,8056014287.999999,3.6900007724761963,0.0,是,1.093180537223816,0/0,60日新高,光学光电,2026-09-04
197,300889,爱克股份,-1.4609203338623047,26.98,32.86,347630928,4016970693.42,5941726618.4,8.611955642700195,0.0,是,0.9567660689353943,0/0,60日新高,光学光电,2026-09-04
152,002161,远 望 谷,1.4534884691238403,6.98,7.57,136453762,5162473263.0,5163506707.84,2.644274950027466,0.0,是,0.6608948707580566,0/0,60日新高,其他电子,2026-09-04
126,600212,绿能慧充,2.5764894485473633,6.37,6.83,98930936,4361412956.81,4485436824.96,2.254185676574707,0.0,是,1.3984946012496948,0/0,60日新高,其他电源,2026-09-04
51,605296,神农集团,6.509406089782715,35.67,36.84,326400960,18476504190.06,18770646358.08,1.7606854438781738,0.0,是,2.3087263107299805,0/0,60日新高,养殖业,2026-09-04
53,002157,正邦科技,6.270627021789551,3.22,3.33,1519131600,25077021938.640003,29785523855.36,6.116247177124023,0.0,是,3.3886446952819824,0/0,60日新高,养殖业,2026-09-04
50,002100,天康生物,6.590620994567871,8.41,8.68,596228272,11481765241.15,11481765283.2,5.271707534790039,0.0,是,2.135080337524414,0/0,60日新高,养殖业,2026-09-04
56,300498,温氏股份,6.150656700134277,15.36,17.36,1964817488,91328716323.84,102204352757.76,2.182904005050659,0.0,是,2.624907970428467,0/0,60日新高,养殖业,2026-09-04
71,001201,东瑞股份,4.901960849761963,12.84,13.46,106334493,2728594951.8,3309946572.84,3.9091835021972656,0.0,是,2.053624153137207,0/0,60日新高,养殖业,2026-09-04
68,300761,立华股份,5.095541477203369,21.45,24.49,357364848,13873085869.5,18153935685.6,2.5949480533599854,0.0,是,1.9238035678863525,0/0,60日新高,养殖业,2026-09-04
85,002714,牧原股份,4.491445064544678,43.97,46.29,3351156400,144243555100.4,253838638341.12,2.3407883644104004,0.0,是,1.7643963098526,0/0,60日新高,养殖业,2026-09-04
14,600975,新五丰,10.039369583129883,5.59,5.59,315029456,6985609126.599999,6985609148.96,4.608827114105225,0.0,是,3.651909351348877,1/1,60日新高,养殖业,2026-09-04
100,002746,仙坛股份,3.6809816360473633,6.76,7.17,134919890,4797411294.5199995,5817241747.2,2.8276283740997314,0.0,是,1.036147952079773,0/0,60日新高,养殖业,2026-09-04
118,002214,大立科技,2.8412601947784424,16.65,17.81,191733332,7966086822.449999,9967733755.199999,2.3779895305633545,0.0,是,1.469497799873352,0/0,60日新高,军工电子,2026-09-04
95,688132,邦彦技术,3.90625,15.96,18.43,60761720,2429514255.84,2429514255.84,2.508014440536499,0.0,是,0.9488130211830139,0/0,60日新高,军工电子,2026-09-04
188,688002,睿创微纳,-0.11624045670032501,180.45,216.79,1966338720,84008437951.5,84008436868.79999,2.3151557445526123,0.0,是,0.8745504021644592,0/0,60日新高,军工电子,2026-09-04
200,300804,广康生化,-1.6793893575668335,45.08,55.02,41219127,1239700000.0,3335920000.0,3.275272846221924,0.0,是,0.8452197909355164,0/0,60日新高,农化制品,2026-09-04
113,002215,诺 普 信,3.1067962646484375,10.62,11.33,392507952,8581618163.879999,10665228625.92,4.556996822357178,0.0,是,1.1651785373687744,0/0,60日新高,农化制品,2026-09-04
158,000731,四川美丰,1.2178618907928467,7.48,8.13,221961759,4105217732.0,4105217761.92,5.399498462677002,0.0,是,0.8428207039833069,0/0,60日新高,农化制品,2026-09-04
59,600295,鄂尔多斯,5.903527736663818,14.71,15.28,337799456,29060726696.34,41169998725.76,1.187218427658081,0.0,是,2.3074541091918945,0/0,60日新高,冶钢原料,2026-09-04
86,603230,内蒙新华,4.255319118499756,9.8,10.34,145637558,3464525400.0000005,3464525478.4,4.09014892578125,0.0,是,3.036630392074585,0/0,60日新高,出版,2026-09-04
160,600551,时代出版,1.1306532621383667,8.05,8.76,580628576,5458344673.950001,5458344617.6,10.506762504577637,0.0,否,0.9860142469406128,6/3,近期多次涨停,出版,2026-09-04
140,603999,读者传媒,2.030456781387329,6.03,6.5,84597143,3473280000.0,3473280000.0,2.4243528842926025,0.0,是,1.686139702796936,0/0,60日新高,出版,2026-09-04
55,601999,出版传媒,6.240713119506836,7.15,7.4,523886016,3939040105.0,3939040133.6000004,13.335036277770996,0.0,是,4.36846399307251,0/0,60日新高,出版,2026-09-04
26,601949,中国出版,10.0,5.83,5.83,306336544,11100133754.82,11100133719.84,2.807518720626831,0.0,是,3.1324386596679688,1/1,60日新高,出版,2026-09-04
33,605577,龙版传媒,9.971712112426758,15.55,15.55,495051040,6911111119.75,6911111166.400001,7.270991325378418,0.0,是,1.3523929119110107,5/5,60日新高且近期多次涨停,出版,2026-09-04
41,920275,驱动力,7.566765785217285,7.25,8.76,42190104,956380277.25,1155487600.0,4.401040077209473,0.0,是,2.872858762741089,0/0,60日新高,动物保健,2026-09-04
129,600195,中牧股份,2.526002883911133,6.9,7.4,78644693,7045922994.0,7045922966.400001,1.11907160282135,0.0,是,1.4198129177093506,0/0,60日新高,动物保健,2026-09-04
72,920729,永顺生物,4.829545497894287,7.38,9.15,41236435,572001962.58,2016954000.0,7.1398491859436035,-0.9395973086357117,是,2.7836084365844727,0/0,60日新高,动物保健,2026-09-04
2,920970,大禹生物,17.701862335205078,7.58,8.37,153289215,531140454.0,839870064.0,29.023324966430664,0.0,是,3.7302191257476807,0/0,60日新高,动物保健,2026-09-04
148,301223,中荣股份,1.5990862846374512,17.79,21.01,35813370,3435739292.3999996,3435739292.3999996,1.0399343967437744,0.0,是,1.3082973957061768,0/0,60日新高,包装印刷,2026-09-04
135,002228,合兴包装,2.222222328186035,3.22,3.47,105088980,3894015902.98,3907101735.0400004,2.682981491088867,0.0,是,1.8445682525634766,0/0,60日新高,包装印刷,2026-09-04
132,000812,陕西金叶,2.40641713142395,3.83,4.11,134170286,2895976678.23,2896748434.7200003,4.613827705383301,0.0,是,1.8061600923538208,0/0,60日新高,包装印刷,2026-09-04
1,920075,柏星龙,30.000001907348633,21.32,21.32,122264550,748943905.32,1381855800.0,17.23892593383789,0.0,是,2.4193525314331055,1/1,60日新高,包装印刷,2026-09-04
