序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,000523,红棉股份,2.2935779094696045,4.46,4.8,2540839536,8004888520.84,8186189349.44,30.923402786254883,0.0,092500,1,3/2,11.467889785766602,综合Ⅱ,2026-09-10
2,002040,南 京 港,2.8056113719940186,10.26,10.98,938329344,4987134065.7,4987134014.4,17.81424903869629,0.0,092500,5,2/1,8.21643352508545,航运港口,2026-09-10
3,600844,金煤科技,-0.7792207598686218,3.82,4.24,629408400,3142831021.8799996,3883122596.7999997,19.05533790588379,0.0,093002,1,0/0,12.207792282104492,化学原料,2026-09-10
4,000972,中基健康,-2.9748282432556152,4.24,4.81,568779760,3270242374.96,3270242396.1600003,16.059701919555664,0.0,093012,1,2/1,13.72997760772705,农产品加,2026-09-10
5,603162,海通发展,0.5832793116569519,15.52,16.97,2215234448,6556209420.48,21339714928.64,33.2638053894043,0.0,093037,1,6/3,13.869086265563965,航运港口,2026-09-10
6,000930,中粮科技,1.404056191444397,6.5,7.05,2020632256,12065969285.5,12066875600.0,15.943817138671875,0.0,093109,3,3/2,11.544461250305176,农产品加,2026-09-10
7,600403,大有能源,4.010695457458496,7.78,8.23,1811511248,18600520487.56,18600520472.0,9.425628662109375,0.0,093302,5,2/1,7.486630916595459,煤炭开采,2026-09-10
8,601949,中国出版,4.0419158935546875,6.95,7.35,1447790272,13232577975.300001,13232577933.6,10.691246032714844,0.0,093422,3,5/3,8.982036590576172,出版,2026-09-10
9,601999,出版传媒,2.0775623321533203,7.37,7.94,463469424,4060241339.0,4060241368.48,11.199070930480957,0.0,093550,1,0/0,12.742382049560547,出版,2026-09-10
10,000759,中百集团,2.597402572631836,8.69,9.32,2074508400,5698085357.25,5700896250.719999,34.86349105834961,0.0,094421,4,4/3,8.382526397705078,一般零售,2026-09-10
11,002735,王子新材,6.112054347991943,12.5,12.96,682648960,3563241762.5,4690679400.0,19.0192928314209,0.0,094600,2,0/0,11.460102081298828,包装印刷,2026-09-10
12,002457,青龙管业,4.867987155914307,12.71,13.33,802544384,4238617228.0000005,4238617228.0000005,18.704511642456055,0.0,095039,3,0/0,11.1386137008667,装修建材,2026-09-10
13,002295,精艺股份,6.3903279304504395,12.32,12.74,758536832,3085259716.0,3087589120.0,24.96028709411621,0.0,095248,3,3/2,13.55785846710205,工业金属,2026-09-10
14,603366,日出东方,5.612244606018066,8.28,8.62,894112784,6732038276.28,6732038234.879999,12.996953010559082,0.0,095640,2,0/0,11.989795684814453,厨卫电器,2026-09-10
15,002242,九阳股份,4.117647171020508,8.85,9.35,178487078,6741625781.25,6752700520.8,2.6265552043914795,0.0,100057,1,0/0,11.411764144897461,小家电,2026-09-10
16,003029,吉大正元,4.862700462341309,18.33,19.23,351991520,3218437086.5399995,3549058760.91,10.745513916015625,0.0,100842,3,0/0,11.498855590820312,软件开发,2026-09-10
17,002552,宝鼎科技,5.955387115478516,50.35,52.27,2404300656,18554140601.15,19535061264.8,13.011974334716797,0.0,103003,1,0/0,12.121212005615234,元件,2026-09-10
18,301176,逸豪新材,15.285714149475098,56.49,58.8,1098130624,9267388372.41,9550576018.83,12.376604080200195,0.0,103057,1,0/0,22.183673858642578,元件,2026-09-10
19,605006,山东玻纤,5.997551918029785,17.32,17.97,1931073184,11320374585.28,11320374723.84,17.057600021362305,0.0,103831,2,0/0,10.28151798248291,玻璃玻纤,2026-09-10
20,000889,中嘉博创,5.5276384353637695,4.2,4.38,579596320,3653157694.2000003,3932422704.0,15.797853469848633,0.0,104621,4,0/0,12.562814712524414,通信服务,2026-09-10
21,600812,华北制药,7.916666507720947,5.18,5.28,573472720,8887483316.6,8887483306.24,6.571081638336182,0.0,134151,1,0/0,11.666666984558105,化学制药,2026-09-10
22,605177,东亚药业,8.472344398498535,24.71,25.06,327029696,2808349889.73,2834383134.94,12.124543190002441,0.0,141407,2,0/0,11.23792839050293,化学制药,2026-09-10
