序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,603580,艾艾精工,2.1328957080841064,24.9,26.82,122551675,3253762680.0,3253762680.0,3.65377140045166,-0.4000000059604645,092502,1,0/0,13.37161636352539,塑料,2026-07-01
2,002120,韵达股份,8.176100730895996,6.88,7.0,703346544,19368093801.44,19946505136.64,3.6487672328948975,-0.14513787627220154,093000,1,0/0,6.4465413093566895,物流,2026-07-01
3,002042,华孚时尚,6.45161247253418,3.63,3.75,219886170,6173473318.65,6173473336.8,3.5121893882751465,-0.2747252881526947,093018,1,0/0,8.797654151916504,纺织制造,2026-07-01
4,603928,兴业股份,-2.702702760696411,14.4,16.28,1111592944,4906137600.0,4906137600.0,21.28187370300293,-0.0693962499499321,093030,1,4/3,14.45945930480957,塑料,2026-07-01
5,300943,春晖智控,4.5606231689453125,47.0,53.94,1599094528,6271001085.0,9579540000.0,24.493467330932617,0.0,093245,2,0/0,18.420467376708984,通用设备,2026-07-01
6,603950,长源东谷,3.3992655277252197,87.3,92.87,1622846832,28273746240.0,28296618840.0,5.608188152313232,-0.5128205418586731,093307,2,3/2,8.966007232666016,汽车零部,2026-07-01
7,603285,键邦股份,-1.383619785308838,44.19,49.29,477808016,2752894708.2,7070400000.0,16.395524978637695,-0.40567949414253235,093348,4,0/0,12.58647632598877,化学制品,2026-07-01
8,002885,京泉华,-2.3984336853027344,39.88,44.95,1520504080,9461762301.0,10804169002.880001,15.199360847473145,0.15067805349826813,093439,1,0/0,13.901126861572266,其他电子,2026-07-01
9,600714,金瑞矿业,0.9741840958595276,20.73,22.58,896554768,5973894139.29,5973894118.56,14.737160682678223,0.09657170623540878,093918,1,0/0,13.00535774230957,化学原料,2026-07-01
10,603106,恒银科技,6.6187052726745605,7.41,7.65,136522952,3857053200.0,3857053200.0,3.5381886959075928,0.0,094135,1,0/0,11.079136848449707,计算机设,2026-07-01
11,300540,蜀道装备,14.010554313659668,43.21,45.48,1935346576,8932682571.26,9834242974.300001,21.355716705322266,0.0,094218,17,4/2,18.944591522216797,专用设备,2026-07-01
12,603678,火炬电子,5.421687126159668,87.5,91.3,4536318208,41612080212.5,41612079600.0,10.821992874145508,0.26354989409446716,094728,1,0/0,8.795181274414062,军工电子,2026-07-01
13,000534,万泽股份,7.309941291809082,29.36,30.1,1035887504,14706821563.76,14960344312.32,7.025014400482178,0.0,094730,3,0/0,7.638888835906982,生物制品,2026-07-01
14,603011,合锻智能,1.602176547050476,33.61,36.39,2304811216,16617269227.57,16617269059.52,13.446829795837402,0.20870600640773773,094840,2,0/0,12.091897964477539,专用设备,2026-07-01
15,300853,申昊科技,9.776626586914062,33.91,37.07,705341552,3333830351.0699997,4983042014.219999,20.462665557861328,0.0,094903,4,0/0,20.29783058166504,电网设备,2026-07-01
16,000823,超声电子,1.3645224571228027,26.0,28.22,4440731904,15468236342.0,15468827712.0,27.887256622314453,0.03847633674740791,094948,1,12/6,11.539960861206055,元件,2026-07-01
17,603067,振华股份,6.934543132781982,49.5,50.92,3408397760,37398507498.0,37398507696.0,9.016372680664062,0.0,094950,5,2/1,6.804924964904785,化学原料,2026-07-01
18,600378,昊华科技,7.4555583000183105,81.0,82.92,11145300224,86877794403.0,104489968896.0,12.742073059082031,-0.9779951572418213,095222,18,3/2,8.105598449707031,化学制品,2026-07-01
19,002496,辉丰股份,7.567567348480225,1.99,2.04,156296690,2350684515.0,3000103463.2,6.65919828414917,-0.5,095527,2,0/0,9.729729652404785,农化制品,2026-07-01
20,000629,钒钛股份,6.2874250411987305,3.55,3.67,1686978560,32981077726.5,32982864832.0,5.075686931610107,0.0,095633,2,0/0,10.7784423828125,冶钢原料,2026-07-01
21,600531,豫光金铅,6.5718159675598145,15.73,16.24,2258984352,19021702239.54,19021702333.920002,11.840831756591797,0.19108280539512634,095724,8,0/0,11.924118995666504,工业金属,2026-07-01
22,000620,盈新发展,10.0,3.85,3.85,3141476128,17986232937.75,22606488396.8,17.992002487182617,0.0,100121,26,4/2,11.142857551574707,房地产开,2026-07-01
23,002976,瑞玛精密,7.063492298126221,26.98,27.72,485383888,3284260507.04,5250601893.14,14.928841590881348,0.44676098227500916,100609,1,0/0,11.468254089355469,汽车零部,2026-07-01
24,000510,新金路,-0.3220611810684204,24.76,27.32,2488109472,15019673305.92,16057939139.84,15.944029808044434,0.4462474584579468,101130,1,0/0,11.795491218566895,化学原料,2026-07-01
25,603324,盛剑科技,7.8813886642456055,55.3,56.39,1081120912,8166680774.0,8166680774.0,13.399032592773438,-0.16248419880867004,101157,7,0/0,12.075692176818848,环保设备,2026-07-01
26,600961,株冶集团,8.984253883361816,35.3,35.63,3689446784,26538977649.399998,37872406451.2,14.139671325683594,0.02833663858473301,101454,7,0/0,12.009880065917969,工业金属,2026-07-01
27,300121,阳谷华泰,20.0,15.12,15.12,1486079904,6492632146.559999,6731977512.96,23.723743438720703,0.0,101933,17,0/0,21.190475463867188,橡胶,2026-07-01
28,688721,龙图光罩,18.60226058959961,69.24,70.06,1154067920,3703269549.6,9243540000.0,31.83609390258789,0.0,102143,6,0/0,18.94484519958496,半导体,2026-07-01
29,603078,江化微,6.5560503005981445,52.66,54.36,3569008320,20307657479.68,20307657479.68,17.625383377075195,0.03799392282962799,102312,1,2/1,8.822339057922363,电子化学,2026-07-01
30,002908,德生科技,6.003159523010254,6.71,6.96,131478190,2159510380.72,2894909364.16,6.074903964996338,-0.1488095223903656,102406,1,0/0,10.7424955368042,IT服务Ⅱ,2026-07-01
31,688652,京仪装备,12.40445613861084,225.0,240.2,3799498912,27168750000.0,37800000000.0,14.10846996307373,0.0,102550,3,0/0,19.323575973510742,半导体,2026-07-01
32,603316,诚邦股份,6.847984313964844,22.0,22.65,747428176,5813808000.0,5813808000.0,12.83297348022461,0.04547521471977234,102859,2,0/0,10.247693061828613,基础建设,2026-07-01
33,002076,星光股份,7.339449405670166,2.34,2.4,232482353,2438912284.3799996,2595351320.64,9.539029121398926,0.0,103027,21,0/0,10.550458908081055,照明设备,2026-07-01
34,600676,交运股份,6.471494674682617,6.91,7.14,203751421,7106886243.04,7106886243.04,2.845883846282959,0.2902757525444031,103330,1,0/0,10.93990707397461,汽车服务,2026-07-01
35,002567,唐人神,6.567164421081543,3.57,3.69,225189364,5111049122.969999,5115993469.44,4.40826940536499,-0.2793295979499817,104136,1,0/0,10.447761535644531,饲料,2026-07-01
36,600807,济高发展,6.837607383728027,2.5,2.57,97082844,1967546160.0,2211586840.0,4.937317371368408,-0.39840638637542725,104550,1,0/0,11.538461685180664,医疗器械,2026-07-01
37,601519,大智慧,6.6048665046691895,9.2,9.49,982780832,18300272000.0,18300272000.0,5.3677802085876465,0.0,104707,1,0/0,11.239860534667969,软件开发,2026-07-01
38,920970,大禹生物,26.829269409179688,6.76,6.92,121109496,473681988.0,749013408.0,26.72462272644043,-0.7342143654823303,105002,2,0/0,30.956850051879883,动物保健,2026-07-01
39,603880,南卫股份,2.8328611850738525,7.26,7.77,220633712,2098444920.0,2098444920.0,10.40366268157959,-0.13755157589912415,105128,1,0/0,14.022663116455078,医疗器械,2026-07-01
40,600063,皖维高新,8.289473533630371,8.23,8.36,2063147344,17028746075.27,17028746067.04,12.241775512695312,-0.12135922163724899,105545,2,0/0,10.657894134521484,化学纤维,2026-07-01
41,603610,麒盛科技,3.6191537380218506,18.61,19.76,337566816,6569174066.809999,6569173973.76,5.039669036865234,0.21540117263793945,105943,2,0/0,11.302895545959473,家居用品,2026-07-01
42,300873,海晨股份,20.016714096069336,28.72,28.72,1523997136,6718412131.28,6622739492.88,23.496234893798828,0.0,110003,4,2/1,11.951525688171387,物流,2026-07-01
43,688689,银河微电,19.746599197387695,77.5,77.66,1795016736,10204912785.0,10036270150.0,19.66944694519043,0.0,110341,3,0/0,27.364030838012695,半导体,2026-07-01
44,603867,新化股份,8.987757682800293,36.5,36.84,563435936,7872566119.5,7938266119.5,7.371338367462158,-0.0547645166516304,110521,1,0/0,11.466109275817871,化学制品,2026-07-01
45,605020,永和股份,8.030451774597168,43.99,44.79,2553327888,22123626188.13,22470915492.8,11.667351722717285,0.0,110713,1,0/0,9.111001968383789,化学制品,2026-07-01
46,002342,巨力索具,7.0409135818481445,11.25,11.56,2391973136,10740262500.0,10800000000.0,22.453365325927734,0.0,110903,1,0/0,11.227402687072754,通用设备,2026-07-01
47,002889,东方嘉盛,8.108107566833496,11.2,11.4,98537620,2813952892.7999997,4229875686.3999996,3.5385682582855225,-0.08920606225728989,110927,1,0/0,10.61776065826416,物流,2026-07-01
48,301421,波长光电,16.851762771606445,121.0,124.26,2277865360,5603326685.0,14001878000.0,41.6905632019043,0.0,110951,3,0/0,18.647994995117188,光学光电,2026-07-01
49,600623,华谊集团,7.311028480529785,8.66,8.88,465917888,16246460787.78,18354790466.56,2.9184837341308594,-0.2304147481918335,111203,2,0/0,14.002477645874023,化学原料,2026-07-01
50,000990,诚志股份,8.068459510803223,8.84,9.0,531333424,10742691853.4,10742699818.24,4.982367992401123,-0.11299435049295425,111230,6,0/0,9.779951095581055,化学原料,2026-07-01
51,002998,优彩资源,6.758832931518555,6.95,7.16,215513141,1879923576.95,2465955632.0,11.61164379119873,0.0,112324,1,0/0,9.831028938293457,化学纤维,2026-07-01
52,002251,步步高,6.21301794052124,3.59,3.72,729036352,7727374907.21,9652431908.64,9.472692489624023,-0.2777777910232544,112457,2,0/0,11.242603302001953,一般零售,2026-07-01
53,002173,创新医疗,8.974359512329102,17.85,18.02,1177401824,7512440803.35,7876925683.200001,16.15835952758789,-0.0559910424053669,112727,1,0/0,12.94261360168457,医疗服务,2026-07-01
54,601515,衢州东峰,7.1875,3.43,3.52,154653113,6600934401.530001,6600934404.96,2.3548483848571777,-0.2906976640224457,112756,4,0/0,10.625,包装印刷,2026-07-01
55,603887,城地香江,3.640256881713867,9.68,10.27,289597952,5827644795.28,5827644824.32,4.930848598480225,0.0,130209,1,0/0,10.920771598815918,IT服务Ⅱ,2026-07-01
56,002653,海思科,9.978896141052246,72.96,72.97,1496298576,39163916263.68,81709214945.28,4.193151950836182,1.1086474657058716,130330,4,0/0,18.028337478637695,化学制药,2026-07-01
57,600366,宁波韵升,8.9237060546875,15.99,16.15,2863249712,17573666405.49,17573666485.44,16.499530792236328,-0.0625,130349,9,0/0,10.490463256835938,金属新材,2026-07-01
58,000059,华锦股份,8.266666412353516,4.06,4.13,199796611,6493616727.219999,6493736728.639999,3.1627731323242188,0.0,130354,1,0/0,11.466666221618652,炼化及贸,2026-07-01
59,603717,天域生物,4.490500450134277,6.05,6.37,253960268,1755384752.0,1755384752.0,14.190510749816895,0.16556291282176971,130406,1,0/0,9.15371322631836,基础建设,2026-07-01
60,002795,永和智控,8.22122573852539,7.24,7.36,261615373,3145265576.28,3197816949.76,8.498953819274902,-0.41265472769737244,130503,1,0/0,11.360239028930664,通用设备,2026-07-01
61,003027,同兴科技,8.777969360351562,18.96,19.17,167117537,1988163953.28,2478511872.0,8.559123992919922,-0.4724409580230713,130615,1,0/0,11.646586418151855,环境治理,2026-07-01
62,600903,贵州燃气,3.9156627655029297,6.9,7.3,358501664,8031494354.1,8031492470.400001,4.379067420959473,-0.28901731967926025,130625,3,0/0,10.993976593017578,燃气Ⅱ,2026-07-01
63,600618,氯碱化工,7.263681411743164,10.78,11.06,225736176,8083274941.28,12465991827.519999,2.8258843421936035,-0.09267840534448624,130644,1,0/0,10.746269226074219,化学原料,2026-07-01
64,600999,招商证券,8.720378875732422,22.94,23.21,5463139328,170260800939.68002,199498325893.12003,3.261928081512451,0.13094718754291534,130715,2,0/0,9.952607154846191,证券Ⅱ,2026-07-01
65,603383,顶点软件,6.739457607269287,28.35,29.22,249999869,5822419777.650001,5822496322.650001,4.305974960327148,0.10593220591545105,131038,1,0/0,10.316265106201172,软件开发,2026-07-01
66,688318,财富趋势,14.28972053527832,81.5,85.57,1398168896,29223231690.0,29223232016.0,4.852084636688232,0.0,131202,1,0/0,21.133081436157227,软件开发,2026-07-01
