序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,600712,南宁百货,-1.9033674001693726,6.7,7.51,1043332160,3608944085.7000003,3649190912.0,26.58584976196289,0.0,093001,2,2/1,14.348462104797363,一般零售,2026-09-11
2,600359,新农开发,0.8298755884170532,9.72,10.6,1398570672,3708304610.4,3708304571.5200005,35.715782165527344,0.0,093002,5,3/2,13.900415420532227,种植业,2026-09-11
3,600792,云煤能源,-4.805914878845215,5.15,5.95,1249033856,5716106540.0,5716106540.0,19.659730911254883,0.0,093011,3,4/3,17.560073852539062,焦炭Ⅱ,2026-09-11
4,003013,地铁设计,6.123595714569092,18.89,19.58,347193008,7617044225.070001,8668558436.32,4.572269916534424,0.0,093100,1,0/0,9.157303810119629,工程咨询,2026-09-11
5,000759,中百集团,-6.444189071655273,8.13,9.56,2419906992,5330889983.250001,5333519737.440001,41.175697326660156,0.0,093109,1,5/3,17.951669692993164,一般零售,2026-09-11
6,000679,大连友谊,-0.7429420351982117,6.68,7.4,207595610,2380752000.0,2380752000.0,8.542913436889648,0.0,093154,1,0/0,14.561663627624512,一般零售,2026-09-11
7,002194,武汉凡谷,5.524861812591553,11.46,11.95,1545448736,5897856339.0,7830455359.68,25.513668060302734,0.0,093415,3,0/0,12.154696464538574,通信设备,2026-09-11
8,000722,湖南发展,3.1886026859283447,15.21,16.21,1427125152,7059847469.22,9731195922.24,19.797237396240234,0.0,093800,1,2/1,8.887381553649902,电力,2026-09-11
9,600706,曲江文旅,2.617230176925659,9.41,10.09,686649840,2390424040.85,2400112576.85,27.758787155151367,0.0,093954,2,0/0,11.777535438537598,旅游及景,2026-09-11
10,000978,桂林旅游,1.857585072517395,9.87,10.66,1681195392,4620359826.809999,4620443100.0,35.15839385986328,0.0,094012,3,5/4,13.519091606140137,旅游及景,2026-09-11
11,000890,法尔胜,-0.5931198000907898,8.38,9.27,717077600,3515334965.4800005,3515443251.84,19.88044548034668,0.0,094242,1,0/0,14.472124099731445,环保设备,2026-09-11
12,000070,特发信息,6.056860446929932,17.16,17.8,2390801776,14701264423.56,14901622919.04,16.216978073120117,0.0,094436,1,0/0,12.669962882995605,通信设备,2026-09-11
13,600371,万向德农,4.452296733856201,14.78,15.57,1219040624,4324302840.0,4324302840.0,27.788496017456055,0.0,094519,2,14/7,14.558303833007812,种植业,2026-09-11
14,600255,鑫科材料,4.021448135375977,3.88,4.1,1193864640,7007850185.4,7007850204.8,17.094655990600586,0.0,095245,1,0/0,12.868632316589355,金属新材,2026-09-11
15,603328,依顿电子,6.594324111938477,12.77,13.18,1515183824,12750112142.47,12750112104.16,12.020331382751465,0.0,131746,1,0/0,12.270450592041016,元件,2026-09-11
16,002297,博云新材,7.442922115325928,23.53,24.09,4400072704,13485156391.070002,13485156320.480001,33.199729919433594,0.0,134112,3,0/0,12.009132385253906,航空装备,2026-09-11
17,603601,再升科技,8.333333969116211,10.79,10.96,3374887952,12325859077.089998,12325859131.039999,28.136032104492188,0.0,134731,3,2/1,10.642570495605469,专业工程,2026-09-11
18,603226,菲林格尔,7.405360698699951,38.87,39.81,553403392,13817965099.9,13817965333.119999,4.079098701477051,0.0,135123,2,0/0,10.997512817382812,家居用品,2026-09-11
