序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002962,五方光电,8.376421928405762,20.96,21.27,1414565936,4384496744.8,6113305945.6,32.89381790161133,-0.1429252028465271,093130,2,2/1,7.600827693939209,光学光电,2026-06-29
2,600545,卓郎智能,5.492957592010498,7.49,7.81,2292938144,13391462542.78,13391462557.76,16.758947372436523,0.0,093134,6,2/1,6.901408672332764,专用设备,2026-06-29
3,603886,元祖股份,4.57831335067749,13.02,13.7,242044378,3124800000.0,3124800000.0,7.599889755249023,1.1655011177062988,093217,2,0/0,8.353413581848145,休闲食品,2026-06-29
4,600962,国投中鲁,0.06896551698446274,29.02,31.9,1313053456,7609334200.0,7609334200.0,16.401716232299805,0.03447087109088898,093302,3,3/2,13.448275566101074,农产品加,2026-06-29
5,000420,吉林化纤,4.218362331390381,4.2,4.43,678090496,10323749700.6,10327247011.2,6.480579376220703,0.0,093327,1,0/0,7.940446376800537,化学纤维,2026-06-29
6,002138,顺络电子,8.602150917053223,74.74,75.7,5546855680,56540791090.78,60264233628.479996,9.808845520019531,0.04015526920557022,093406,4,0/0,7.2653303146362305,元件,2026-06-29
7,002735,王子新材,-4.759036064147949,15.81,18.26,1003310528,4506788181.21,5932771305.12,21.019275665283203,0.380952388048172,093409,2,0/0,15.903614044189453,包装印刷,2026-06-29
8,002158,汉钟精机,3.0320870876312256,35.0,37.37,1075326608,18674838840.0,18715345040.0,5.6051859855651855,0.0,093618,1,0/0,9.037385940551758,通用设备,2026-06-29
9,688376,美埃科技,13.091423034667969,119.99,127.32,1354054960,16228880760.56,16228880760.56,8.492106437683105,0.0,093631,2,0/0,18.237512588500977,环保设备,2026-06-29
10,600397,江钨装备,5.606759071350098,27.5,28.64,3216436784,27223896755.0,27223896920.0,11.765179634094238,0.18214936554431915,093737,2,9/5,8.294931411743164,专用设备,2026-06-29
11,605111,新洁能,8.420546531677246,90.13,91.44,3888929312,37433924263.71,37433923632.799995,10.465885162353516,0.0,093852,2,0/0,7.650667190551758,半导体,2026-06-29
12,000962,东方钽业,7.870849132537842,93.88,95.73,4632564224,47238326231.2,49517959820.799995,9.941570281982422,-0.10640561580657959,093857,1,0/0,7.7444562911987305,小金属,2026-06-29
13,601399,国机重装,3.5714287757873535,3.48,3.7,855763104,25103174497.2,25103174768.64,3.340205192565918,0.0,093920,1,0/0,8.035714149475098,专用设备,2026-06-29
14,603010,万盛股份,5.900060176849365,17.59,18.27,842108176,10039990173.87,10290682765.92,8.334731101989746,0.0568828210234642,093921,2,0/0,11.017459869384766,化学制品,2026-06-29
15,600707,彩虹股份,9.957019805908203,15.35,15.36,5687866880,55070730386.2,55081782324.799995,10.670449256896973,0.0,094140,3,0/0,9.957019805908203,光学光电,2026-06-29
16,603687,大胜达,8.187134742736816,20.35,20.69,2252074640,11193148432.400002,11193148595.2,20.200830459594727,0.19694732129573822,094151,31,2/1,12.70600700378418,包装印刷,2026-06-29
17,002402,和而泰,5.718145370483398,23.48,24.43,1642736176,19217877316.68,21681185178.24,8.460838317871094,0.0,094206,1,0/0,9.995497703552246,家电零部,2026-06-29
18,605069,正和生态,8.683666229248047,15.77,15.96,340100784,3338473959.06,3338473959.06,10.225180625915527,0.5739796161651611,094223,13,6/3,8.270158767700195,环境治理,2026-06-29
19,688629,华丰科技,18.077613830566406,171.0,173.78,7047709440,78829774101.0,80071598160.0,9.059662818908691,0.0,094516,4,0/0,15.039359092712402,军工电子,2026-06-29
20,600552,凯盛科技,6.351350784301758,31.48,32.56,7603429632,29736225023.12,29736225086.08,25.92205810546875,0.0,094519,1,2/1,10.40540599822998,光学光电,2026-06-29
21,688727,恒坤新材,12.444584846496582,71.02,75.79,1216437488,3837085959.8999996,31910677992.0,31.704238891601562,0.0,094559,1,0/0,16.291955947875977,半导体,2026-06-29
22,600460,士兰微,4.386661052703857,52.59,55.42,13706877952,87513538328.55,87513538065.6,15.533310890197754,0.05707762390375137,094619,2,0/0,9.071060180664062,半导体,2026-06-29
23,688711,宏微科技,13.422987937927246,44.7,47.29,1839649168,9525249411.6,9525249411.6,19.090740203857422,0.0,094621,1,0/0,12.940877914428711,半导体,2026-06-29
24,001393,维通利,6.036177635192871,53.93,55.95,435382208,2590806961.33,13446546702.62,16.686203002929688,0.0,094912,1,0/0,9.732599258422852,电网设备,2026-06-29
25,605100,华丰股份,8.248231887817383,41.34,42.01,511808688,9834984432.0,9881169480.0,5.23079252243042,0.02419549971818924,095015,1,0/0,9.976433753967285,通用设备,2026-06-29
26,603039,泛微网络,5.007680416107178,34.18,35.81,527046128,10515106010.28,10515106215.36,4.987860202789307,0.0,095422,1,0/0,9.523809432983398,软件开发,2026-06-29
27,002114,罗平锌电,8.076358795166016,7.36,7.49,230201690,2380156457.28,2380189143.04,9.752623558044434,0.0,102554,1,0/0,10.132158279418945,工业金属,2026-06-29
28,002742,冀衡医药,3.6809816360473633,3.38,3.59,78504064,1770985215.74,2312264922.24,4.368653297424316,-0.29498523473739624,105842,1,0/0,11.963190078735352,化学制药,2026-06-29
29,000404,长虹华意,8.771929740905762,8.06,8.15,344061504,5583389670.820001,5609727631.04,6.2238922119140625,0.0,110000,1,0/0,6.072874546051025,家电零部,2026-06-29
30,001282,三联锻造,5.822784900665283,20.9,21.73,208313078,3191998480.0,4643679040.0,6.569339752197266,0.23980815708637238,111806,1,0/0,13.518987655639648,汽车零部,2026-06-29
31,301328,维峰电子,18.692373275756836,70.8,71.58,796196288,8153615660.4,11281676338.8,10.063432693481445,0.0,111851,1,0/0,18.692373275756836,其他电子,2026-06-29
32,002647,仁东控股,9.178744316101074,11.3,11.39,684158688,11472795724.1,12772295803.2,6.034657955169678,-0.08841732889413834,111936,1,0/0,6.956521511077881,多元金融,2026-06-29
33,600789,鲁抗医药,8.797654151916504,7.42,7.5,336407264,6668128669.44,7755308137.92,5.1403608322143555,-0.13458949327468872,112352,3,0/0,12.023460388183594,化学制药,2026-06-29
34,001390,古麒绒材,8.496732711791992,19.92,20.2,152784470,2366082660.0,3984000000.0000005,6.499188423156738,-0.05017561465501785,130903,1,0/0,10.72984790802002,纺织制造,2026-06-29
35,002294,信立泰,9.121061325073242,32.9,33.17,1316233072,36669212714.4,36677463771.2,3.6707985401153564,0.0,130939,1,0/0,12.371476173400879,化学制药,2026-06-29
36,001259,利仁科技,4.740740776062012,70.7,74.25,361334624,3361396079.3,5202734381.6,10.797883987426758,0.014146272093057632,133148,1,0/0,9.851852416992188,小家电,2026-06-29
37,002674,兴业科技,9.954907417297363,31.7,31.71,1853260896,9274267768.4,9368964924.8,21.302078247070312,-0.0315357930958271,141100,4,7/6,15.192506790161133,纺织制造,2026-06-29
38,001270,铖昌科技,9.954815864562988,153.31,153.37,2802544400,31398387177.36,31599475472.31,9.239119529724121,0.0,145212,2,2/1,8.004016876220703,军工电子,2026-06-29
