序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,603124,江南新材,4.219225883483887,119.8,126.45,981211200,9297535438.0,17460274840.2,10.233956336975098,0.0,093505,1,2/1,8.003479957580566,金属新材,2026-07-22
2,603192,汇得科技,3.7601141929626465,21.8,23.11,227738479,3039060980.6,3644815705.8,7.303024768829346,0.0,093511,1,2/1,9.804854393005371,化学制品,2026-07-22
3,002156,通富微电,8.08080768585205,74.9,76.23,18636008960,113657171427.8,113668008708.8,16.33552360534668,0.0,093742,8,2/1,7.720057487487793,半导体,2026-07-22
4,000426,兴业银锡,7.123564720153809,31.73,32.58,3619171216,56327269372.72,56340922157.12,6.343066692352295,0.0,093918,8,2/1,6.718433856964111,贵金属,2026-07-22
5,600400,红豆股份,7.692307949066162,2.66,2.72,363278976,6095049126.320001,6095049136.96,6.105199813842773,0.0,093932,1,0/0,12.14574909210205,服装家纺,2026-07-22
6,300006,莱美药业,16.592920303344727,5.27,5.42,575144880,5564176132.459999,5564652024.0,10.361963272094727,0.0,093945,4,0/0,21.238937377929688,化学制药,2026-07-22
7,001229,魅视科技,7.211398124694824,36.87,37.83,384576768,2719206928.35,5288341527.0,14.131728172302246,0.0,094527,5,0/0,11.776679039001465,计算机设,2026-07-22
8,000938,紫光股份,8.29715347290039,44.9,45.61,24152339200,128417263062.59999,128417586252.8,18.804473876953125,0.0,094848,20,2/1,6.922334671020508,IT服务Ⅱ,2026-07-22
9,603459,红板科技,8.85714340209961,83.82,84.7,2296098608,6626126737.559999,63179625410.88,34.878196716308594,0.0,095209,6,0/0,12.597402572631836,元件,2026-07-22
10,000034,神州数码,8.597464561462402,27.41,27.76,3580141184,23275142349.22,27868834190.24,15.48355484008789,0.0,100533,6,0/0,12.123613357543945,IT服务Ⅱ,2026-07-22
11,002396,星网锐捷,9.427395820617676,34.59,34.77,7349901568,26198988516.54,26307575589.120003,28.904123306274414,0.0,100830,32,2/1,14.773805618286133,通信设备,2026-07-22
12,002150,正泰电源,-1.3617794513702393,21.73,24.23,441892976,7790302719.81,7841679024.0,5.372986793518066,0.0,101145,1,0/0,11.529732704162598,光伏设备,2026-07-22
13,301165,锐捷网络,13.656865119934082,126.0,133.03,6360850688,140318181738.0,140318182368.0,4.569793701171875,0.0,102151,2,0/0,23.4530029296875,通信设备,2026-07-22
14,003043,华亚智能,3.3390543460845947,66.23,70.5,761836704,6226758758.620001,9537789055.460001,11.893465995788574,0.0,102203,1,0/0,12.451240539550781,半导体,2026-07-22
15,600246,万通发展,4.053155899047852,15.66,16.56,3998058208,29603859374.16,30427183811.52,13.400357246398926,0.0,102207,1,0/0,13.023255348205566,房地产开,2026-07-22
16,600475,华光环能,6.288819789886475,13.69,14.17,355674032,12908105630.01,13087170816.32,2.743072748184204,0.0,102434,3,0/0,10.791925430297852,电力,2026-07-22
17,600936,北投科技,5.856832981109619,4.88,5.07,670656656,8154608046.32,8154608051.2,8.112665176391602,0.0,102732,2,0/0,11.279826164245605,IT服务Ⅱ,2026-07-22
18,601996,丰林集团,6.153846263885498,2.07,2.15,111458402,2320292841.12,2320292841.12,4.787704944610596,0.0,102843,1,0/0,8.717948913574219,家居用品,2026-07-22
19,002897,意华股份,5.099886417388916,64.71,67.73,1549962416,11934016406.73,12546019838.159998,12.842935562133789,0.0,103009,2,0/0,12.571057319641113,通信设备,2026-07-22
20,600711,盛屯矿业,9.175257682800293,10.59,10.67,2471621584,32729576325.09,32729576335.68,7.619708061218262,0.0,103505,15,0/0,8.762886047363281,工业金属,2026-07-22
21,601168,西部矿业,7.764984130859375,36.5,37.26,4947800576,86979500000.0,86979500000.0,5.669145107269287,0.0,103713,6,0/0,7.705934524536133,工业金属,2026-07-22
22,000571,新大洲A,8.070175170898438,6.16,6.27,384815232,5014191644.0,5169034689.28,7.7585768699646,0.0,104106,8,0/0,13.333333969116211,煤炭开采,2026-07-22
23,600988,赤峰黄金,7.722661018371582,38.22,39.03,4159975792,63594692867.159996,72633715452.48,6.519106864929199,0.0,104152,19,2/1,6.8771138191223145,贵金属,2026-07-22
24,600684,珠江股份,4.1800642013549805,3.24,3.42,129294930,2765212742.52,3583680693.1200004,4.687480926513672,0.0,105021,1,0/0,11.254019737243652,房地产服,2026-07-22
25,688049,炬芯科技,15.094339370727539,42.7,44.52,963448976,7479658655.000001,7479658655.000001,13.087995529174805,0.0,105810,3,0/0,21.239891052246094,半导体,2026-07-22
26,000063,中兴通讯,7.511468410491943,37.5,38.37,17989046784,151035796200.0,179382556800.0,11.982253074645996,0.0,112024,1,0/0,12.213302612304688,通信设备,2026-07-22
27,603120,肯特催化,6.238739013671875,47.17,48.84,393833456,1787743000.0,4264168000.0,22.071147918701172,0.0,112100,4,0/0,13.91891860961914,化学制品,2026-07-22
28,603979,金诚信,9.980401039123535,72.95,72.96,1278390992,45505668711.0,45505668419.200005,2.8528475761413574,0.0,112148,9,0/0,8.985376358032227,工业金属,2026-07-22
29,002409,雅克科技,4.395680904388428,149.86,157.91,7491910144,47733818865.420006,71322522124.8,15.452021598815918,0.0,112448,3,2/1,8.018112182617188,半导体,2026-07-22
