日期,红盘,绿盘,涨停,跌停,炸板,3连板以上个股数,3连板,2连板,首板,3连板以上个股,3连板个股,2连板个股,备注
2026-02-03,4855,532,69,9,18,3,2,5,59,万丰股份4;横店影视4;皇台酒业4,杭电股份;名雕股份,新华百货;民爆光电;三变科技;中超控股;顺钠股份,
2026-02-04,3253,2130,68,5,19,2,2,8,56,杭电股份4;名雕股份4,民爆光电;顺钠股份,泽润新能;双良节能;国晟科技;京投发展;银轮股份;巨力索具;中集集团;天通股份,
2026-02-05,1617,3719,44,15,10,1,1,8,34,民爆光电4,京投发展,协鑫集成;丰倍生物;杭州解百;韩建河山;凯龙高科;兴民智通;陕西黑猫;坤彩科技,
2026-02-06,2748,2550,55,5,26,0,4,4,47,,协鑫集成;杭州解百;韩建河山;凯龙高科,田中精机;金富科技;神剑股份;皇庭国际,
2026-02-09,4612,758,83,3,26,3,1,10,69,协鑫集成4;韩建河山4;凯龙高科4,金富科技,闰土股份;百川股份;德美化工;海翔药业;金牛化工;科森科技;完美世界;协鑫能科;杉杉股份;名雕股份,
2026-02-10,2194,3128,60,2,8,0,1,20,39,,百川股份,大位科技;吉华集团;振德医疗;兆驰股份;中文在线;欢瑞世纪;捷成股份;引力传媒;横店影视;博纳影业;风语筑;上海电影;龙韵股份;掌阅科技;荣信文化;雅博股份;顶固集创;德才股份;长飞光纤;联德股份,
2026-02-11,2049,3241,51,5,17,1,7,3,40,百川股份4,大位科技;吉华集团;欢瑞世纪;掌阅科技;龙韵股份;雅博股份;德才股份,醋化股份;小崧股份;特发信息,
2026-02-12,2108,3279,60,13,19,4,1,12,43,大位科技4;掌阅科技4;雅博股份4;德才股份4,特发信息,江钨装备;卓郎智能;美邦股份;翔鹭钨业;章源钨业;东方钽业;宏和科技;中材科技;山东玻纤;豫能控股;金时科技;海量数据,
2026-02-13,1540,3828,32,12,11,1,3,1,27,掌阅科技5,美邦股份;豫能控股;金时科技,汉缆股份,
2026-02-25,3748,1608,75,3,35,2,2,14,57,豫能控股5;汉缆股份4,罗曼股份;法尔胜,再升科技;时空科技;江钨装备;风华高科;云天化;和邦生物;六国化工;金正大;澄星股份;金浦钛业;誉帆科技;洲际油气;招商轮船;郑中设计,
