序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301669,C高特,39.72,-21.14,-10.65,448552,1898483179.64,14.23,46.68,39.51,45.0,50.37,0.8,54.78,308.42,11.15,2026-06-11
2,688635,长进光子,446.0,-8.98,-44.0,40791,1873420268.0,8.07,484.0,444.44,471.0,490.0,0.94,22.97,525.19,27.92,2026-06-11
3,603435,嘉德利,64.2,-8.64,-6.07,90512,591127102.0,5.05,67.55,64.0,66.9,70.27,0.86,25.36,116.21,13.84,2026-06-11
4,001237,惠康科技,60.89,-2.42,-1.51,39419,239629774.9,4.2,62.4,59.78,61.49,62.4,0.73,11.31,27.23,2.74,2026-06-11
5,001365,天海电子,38.52,-3.8,-1.52,54462,211476777.55,4.0,39.98,38.38,39.98,40.04,0.85,9.47,43.25,2.78,2026-06-11
6,001393,维通利,55.62,-3.6,-2.08,44828,252063200.03,5.94,58.73,55.3,57.73,57.7,0.7,9.33,70.54,3.84,2026-06-11
