序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688835,C高凯,300.0,0.17,0.52,50693,1489769190.0,7.68,303.0,280.0,295.0,299.48,0.42,26.99,141.23,13.43,2026-08-27
2,301655,绿控传动,29.31,4.42,1.24,251732,703777525.73,17.46,31.0,26.1,27.5,28.07,0.96,55.98,56.91,8.99,2026-08-27
3,688836,宇树科技-W,615.03,3.97,23.5,63398,3795447912.0,5.59,615.05,582.0,588.0,591.53,0.81,21.07,453.94,28.28,2026-08-27
4,688826,频准激光,1016.21,-0.81,-8.28,14690,1476595794.0,4.12,1030.0,987.77,1015.0,1024.49,0.83,19.28,230.08,17.69,2026-08-27
5,688828,国仪公司-U,115.38,-2.63,-3.12,82424,934056391.0,7.4,118.87,110.1,117.3,118.5,0.98,31.65,-328.17,32.57,2026-08-27
6,301717,超纯应材,414.48,2.59,10.48,48281,1924982054.74,8.14,417.87,385.0,392.83,404.0,1.02,27.71,184.96,16.71,2026-08-27
7,301707,展芯股份,81.28,1.66,1.33,59337,477336072.88,4.72,81.99,78.22,78.58,79.95,1.07,21.93,116.55,13.65,2026-08-27
8,603468,津富士达,24.01,0.71,0.17,37218,88961124.0,2.43,24.19,23.61,23.82,23.84,1.15,9.31,26.25,2.76,2026-08-27
9,001232,嘉立创,162.03,10.0,14.73,86768,1378644403.63,5.46,162.03,153.99,156.84,147.3,1.92,19.63,43.68,7.1,2026-08-27
10,301677,欣兴工具,54.91,0.96,0.52,25759,140552628.32,2.0,54.97,53.88,54.17,54.39,1.04,12.01,29.01,2.55,2026-08-27
