序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301677,C欣兴,71.22,-19.09,-16.8,128276,945392686.29,9.53,78.99,70.6,75.0,88.02,0.79,59.83,37.63,3.31,2026-08-03
2,688825,长鑫科技,54.99,1.89,1.02,5579254,29988994356.0,9.73,55.98,50.73,52.51,53.97,0.43,12.39,37.13,26.39,2026-08-03
3,688806,泰诺麦博-U,23.84,-4.33,-1.08,96735,231452014.0,7.06,25.12,23.36,25.12,24.92,0.53,18.96,-28.48,12.15,2026-08-03
4,301583,托伦斯,154.8,3.48,5.2,129213,1960409097.12,8.62,157.6,144.7,148.97,149.6,0.78,41.91,490.24,15.51,2026-08-03
