序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688816,C易思,76.45,0.2,0.15,43643.0,338423817.0,4.74,79.85,76.23,76.77,76.3,0.38,22.63,-799.07,4.36,2026-02-13
2,688818,C电科,59.0,2.61,1.5,399907.0,2395089811.0,9.15,62.57,57.31,58.01,57.5,0.55,30.29,677.97,19.66,2026-02-13
3,603284,C林平,55.06,3.5,1.86,84603.0,464896407.0,10.43,57.6,52.05,52.05,53.2,0.79,45.8,28.36,2.0,2026-02-13
4,688712,北芯生命-U,39.48,-1.89,-0.76,49796.0,199064716.0,2.76,40.59,39.48,40.47,40.24,0.46,13.42,157.59,9.71,2026-02-13
5,001220,世盟股份,43.54,-0.77,-0.34,27621.0,121352813.02,1.82,44.28,43.48,44.05,43.88,0.41,12.22,27.6,2.69,2026-02-13
6,601112,振石股份,19.64,-2.0,-0.4,163543.0,323838189.0,2.0,20.02,19.62,19.9,20.04,0.59,9.23,42.5,5.39,2026-02-13
7,688785,恒运昌,348.5,4.86,16.15,17168.0,596353707.0,10.51,358.8,323.87,329.87,332.35,1.03,13.49,193.23,10.79,2026-02-13
8,603352,至信股份,43.0,-0.35,-0.15,14771.0,63736420.0,0.72,43.31,43.0,43.07,43.15,0.55,3.33,44.3,3.39,2026-02-13
