序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688820,C盛合,95.0,23.94,18.35,942851,7908642405.0,27.66,96.22,75.02,76.01,76.65,0.73,54.53,192.25,10.28,2026-04-22
2,001312,C福恩,29.1,-4.81,-1.47,294758,845090454.7,7.59,30.32,28.0,28.1,30.57,0.72,51.57,29.48,3.89,2026-04-22
3,301513,C尚水,94.71,-5.31,-5.31,83625,798125207.44,6.15,99.91,93.76,97.08,100.02,0.68,41.5,58.97,9.67,2026-04-22
4,603293,C埃泰克,57.8,0.17,0.1,76972,445037245.0,3.31,58.57,56.66,57.13,57.7,0.47,21.93,41.67,5.2,2026-04-22
5,301666,C大普微-UW,224.9,4.82,10.35,82074,1818686636.15,7.61,228.99,212.66,213.0,214.55,0.54,30.95,-204.1,211.99,2026-04-22
6,688811,有研复材,25.07,-3.47,-0.9,425830,1057247587.0,4.77,25.54,24.3,24.6,25.97,0.88,46.22,182.54,11.55,2026-04-22
7,301696,三瑞智能,97.53,0.81,0.78,82095,788360773.31,4.69,98.58,94.04,94.04,96.75,0.65,27.29,92.59,30.28,2026-04-22
8,603459,红板科技,63.67,2.69,1.67,243053,1537317586.0,5.77,64.18,60.6,61.16,62.0,0.74,30.75,88.9,17.96,2026-04-22
9,301683,慧谷新材,130.41,-0.3,-0.39,31997,416237215.97,2.71,131.5,127.95,128.64,130.8,0.73,22.43,39.8,5.2,2026-04-22
10,688813,泰金新能,75.14,-1.07,-0.81,66498,499981157.0,4.7,77.67,74.1,75.76,75.95,0.6,22.11,58.9,11.62,2026-04-22
11,001257,盛龙股份,24.25,-1.66,-0.41,250188,601462631.96,2.23,24.35,23.8,24.21,24.66,0.73,18.27,50.37,6.93,2026-04-22
12,688781,视涯科技-UW,39.9,3.96,1.52,68574,269817921.0,6.59,40.44,37.91,38.44,38.38,1.06,16.79,-187.91,18.14,2026-04-22
13,301682,宏明电子,126.44,-0.4,-0.51,34712,436139639.64,2.36,127.0,124.0,125.61,126.95,0.52,13.51,48.22,4.08,2026-04-22
