序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603402,C陕旅,129.79,-1.67,-2.21,70295,920911758.0,7.79,136.95,126.67,129.0,132.0,0.61,36.36,20.39,3.48,2026-01-09
2,301687,新广益,65.3,-4.06,-2.76,112532,737995831.87,4.78,67.9,64.65,67.9,68.06,0.61,38.1,71.0,6.46,2026-01-09
3,688809,强一股份,367.0,13.62,44.0,95148,3222934481.0,26.25,386.0,301.2,310.2,323.0,1.01,39.07,142.77,12.18,2026-01-09
4,001396,誉帆科技,40.26,-0.3,-0.12,34916,140757489.5,1.14,40.65,40.19,40.5,40.38,0.45,15.72,42.09,3.12,2026-01-09
5,001369,双欣环保,15.23,0.26,0.04,284133,431339602.74,1.51,15.3,15.07,15.2,15.19,0.42,14.13,32.42,2.57,2026-01-09
6,688805,健信超导,46.45,0.54,0.25,58934,274810250.0,3.2,47.4,45.92,46.01,46.2,0.81,18.7,122.66,6.53,2026-01-09
7,603248,锡华科技,22.95,0.83,0.19,102583,234070543.0,1.63,22.99,22.62,22.99,22.76,0.93,14.8,49.0,4.65,2026-01-09
8,301667,纳百川,81.39,4.13,3.23,102198,830397089.82,8.83,84.99,78.09,80.04,78.16,1.17,45.43,116.94,7.31,2026-01-09
9,301449,天溯计量,84.24,-0.92,-0.78,30695,258774893.58,2.05,85.5,83.76,83.82,85.02,0.65,22.06,44.31,4.83,2026-01-09
10,688807,优迅股份,196.6,0.29,0.57,29375,569599381.0,4.8,198.5,189.09,193.61,196.03,0.93,19.54,161.72,9.04,2026-01-09
11,001325,元创股份,50.13,0.2,0.1,18615,93235587.3,0.58,50.23,49.94,50.08,50.03,0.93,9.5,24.12,2.24,2026-01-09
12,688802,沐曦股份-U,634.81,-1.2,-7.74,23581,1477363643.0,2.84,636.0,617.78,628.0,642.55,0.82,13.0,-551.34,18.89,2026-01-09
13,688790,昂瑞微-UW,162.01,-2.45,-4.07,18294,297905640.0,2.44,165.1,161.04,165.1,166.08,0.79,15.17,-192.66,5.67,2026-01-09
14,688796,百奥赛图,59.79,6.44,3.62,50367,291587120.0,7.64,60.0,55.71,55.71,56.17,1.19,14.03,175.59,12.6,2026-01-09
