序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603352,C至信,49.0,-8.29,-4.43,171357,850962481.0,4.64,51.41,48.93,51.0,53.43,0.71,38.57,50.48,3.87,2026-01-21
2,603402,陕西旅游,152.67,-0.22,-0.33,26464,398623798.0,3.9,154.3,148.33,151.01,153.0,0.51,13.69,23.98,4.1,2026-01-21
3,301687,新广益,63.44,2.52,1.56,52057,327930295.3,3.02,63.47,61.6,61.76,61.88,1.09,17.63,68.98,6.28,2026-01-21
4,688809,强一股份,362.78,-2.74,-10.22,44094,1638919898.0,10.84,393.99,353.56,375.99,373.0,1.01,18.11,141.13,12.04,2026-01-21
5,001396,誉帆科技,42.99,0.19,0.08,21690,93250866.78,2.7,43.5,42.34,42.51,42.91,0.42,9.77,44.95,3.33,2026-01-21
6,001369,双欣环保,15.32,-0.97,-0.15,176709,270093395.84,1.29,15.42,15.22,15.4,15.47,0.87,8.79,32.62,2.58,2026-01-21
7,688805,健信超导,50.65,8.81,4.1,96788,485474330.0,14.41,53.41,46.7,46.72,46.55,1.89,30.71,133.75,7.12,2026-01-21
8,603248,锡华科技,23.69,3.45,0.79,120335,280999138.0,4.37,23.72,22.72,22.85,22.9,1.59,17.36,50.58,4.8,2026-01-21
9,301667,纳百川,86.26,9.87,7.75,100174,849974710.13,17.31,90.9,77.31,77.72,78.51,1.63,44.53,123.94,7.75,2026-01-21
10,301449,天溯计量,88.1,3.82,3.24,46958,409576074.23,6.54,88.67,83.12,84.01,84.86,1.24,33.75,46.34,5.05,2026-01-21
