序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688801,N燧原-U,397.0,179.22,254.82,136087,5647951616.0,61.9,475.0,386.99,410.0,142.18,,76.02,-135.09,20.21,2026-09-11
2,301689,C电科思,44.1,-18.33,-9.9,343309,1615317704.91,14.26,51.7,44.0,51.4,54.0,0.74,59.64,122.69,9.53,2026-09-11
3,301699,C洛轴,26.04,-16.08,-4.99,356256,972481877.92,15.76,30.72,25.83,30.55,31.03,0.75,50.94,33.0,4.07,2026-09-11
4,603448,C天博,61.75,-5.07,-3.3,53531,336588265.0,4.41,64.58,61.71,63.65,65.05,0.49,22.76,22.77,2.01,2026-09-11
5,301688,格林生物,35.47,-3.93,-1.45,47935,170841656.34,5.28,36.95,35.0,36.7,36.92,0.56,18.45,24.0,2.92,2026-09-11
6,601123,马矿股份,15.26,-6.5,-1.06,217308,334783128.0,5.27,15.99,15.13,15.92,16.32,0.7,22.68,22.49,3.82,2026-09-11
7,301697,贝特利,24.63,-4.5,-1.16,76754,189947840.64,5.0,25.55,24.26,25.4,25.79,0.59,17.45,34.05,3.92,2026-09-11
8,688835,高凯技术,270.34,6.86,17.36,40122,1094792037.0,11.37,289.77,261.0,261.0,252.98,1.65,21.36,127.27,12.11,2026-09-11
9,301655,绿控传动,21.28,-2.88,-0.63,55069,117071215.98,4.84,21.98,20.92,21.69,21.91,0.75,12.25,39.3,6.25,2026-09-11
10,688836,宇树科技-W,477.12,-4.3,-21.43,36273,1745983339.0,4.96,497.87,473.13,490.25,498.55,1.08,12.06,352.15,21.94,2026-09-11
11,688826,频准激光,756.11,-0.51,-3.88,6349,471721843.0,4.7,757.95,722.22,754.5,759.99,0.78,8.33,171.19,13.16,2026-09-11
