序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301599,C理奇,65.35,-8.22,-5.85,267868,1797320065.65,11.0,71.93,64.1,68.86,71.2,0.74,48.97,110.67,18.63,2026-05-08
2,688808,联讯仪器,1139.0,0.8,9.0,36526,3996705452.0,11.5,1173.96,1044.01,1079.0,1130.0,0.75,18.93,245.87,85.47,2026-05-08
3,688820,盛合晶微,127.0,6.72,8.0,489134,5969844225.0,12.87,129.2,113.88,115.0,119.0,0.89,28.29,309.12,13.91,2026-05-08
4,001312,福恩股份,25.51,5.98,1.44,148556,373775151.9,7.1,25.88,24.17,24.17,24.07,1.59,25.99,36.64,3.3,2026-05-08
5,301513,尚水智能,90.39,2.54,2.24,46413,418515015.12,5.34,91.39,86.68,87.16,88.15,0.95,23.04,76.78,8.9,2026-05-08
6,603293,埃泰克,55.25,6.68,3.46,98080,529815165.0,7.86,55.53,51.46,51.98,51.79,2.01,27.95,42.62,4.77,2026-05-08
7,301666,大普微-UW,504.81,16.78,72.53,99992,4712132982.1,21.18,508.5,416.93,416.93,432.28,1.05,37.71,148.83,247.09,2026-05-08
8,688811,有研复材,29.55,5.95,1.66,290409,845254232.0,9.11,29.98,27.44,27.66,27.89,1.09,31.52,13933.09,13.58,2026-05-08
9,301696,三瑞智能,128.22,13.12,14.87,155597,1890565683.74,19.9,131.64,109.08,110.0,113.35,2.13,51.72,98.42,35.7,2026-05-08
10,603459,红板科技,81.05,10.0,7.37,185136,1468364071.0,8.88,81.05,74.51,75.0,73.68,0.81,23.42,123.37,21.71,2026-05-08
