序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603352,C至信,52.04,-6.54,-3.64,167922,875507222.0,5.94,54.31,51.0,53.49,55.68,0.54,37.8,53.62,4.11,2026-01-19
2,603402,陕西旅游,156.9,1.03,1.6,48646,769947985.0,8.02,164.8,152.35,155.5,155.3,0.59,25.16,24.65,4.21,2026-01-19
3,301687,新广益,63.38,2.18,1.35,45437,285700585.44,3.01,63.54,61.67,61.91,62.03,0.68,15.38,68.91,6.27,2026-01-19
4,688809,强一股份,370.57,-3.75,-14.43,36636,1383899428.0,6.35,392.85,368.39,382.0,385.0,0.73,15.04,144.16,12.3,2026-01-19
5,001396,誉帆科技,44.42,1.72,0.75,65771,296555424.57,6.53,46.45,43.6,44.06,43.67,1.36,29.62,46.44,3.44,2026-01-19
6,001369,双欣环保,15.15,0.73,0.11,138949,210099970.22,0.8,15.17,15.05,15.06,15.04,0.6,6.91,32.25,2.56,2026-01-19
7,688805,健信超导,46.55,-3.92,-1.9,48493,227611048.0,2.93,47.94,46.52,47.6,48.45,0.71,15.39,122.93,6.54,2026-01-19
8,603248,锡华科技,23.29,1.3,0.3,85640,198343766.0,2.22,23.31,22.8,22.8,22.99,1.02,12.36,49.73,4.72,2026-01-19
9,301667,纳百川,80.88,8.83,6.56,99627,785892587.25,11.25,81.8,73.44,74.0,74.32,1.71,44.29,116.21,7.26,2026-01-19
10,301449,天溯计量,86.26,2.63,2.21,36765,315020403.5,6.59,87.55,82.01,83.36,84.05,1.03,26.42,45.38,4.94,2026-01-19
