序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301686,N中塑,433.0,683.29,377.72,78621,2339147535.4,592.13,580.0,252.67,267.76,55.28,,90.03,176.14,17.14,2026-09-22
2,601091,C沈鼓,37.98,0.69,0.26,1144599,4381484588.0,20.41,42.5,34.8,38.7,37.72,0.67,54.2,211.28,17.13,2026-09-22
3,688837,C信诺维,52.88,-13.03,-7.92,260863,1479193638.0,14.97,61.3,52.2,60.0,60.8,0.77,53.68,-68.63,10.38,2026-09-22
4,688801,燧原科技-U,509.83,-2.7,-14.17,31799,1678659318.0,10.12,560.0,506.98,524.0,524.0,0.79,17.76,-173.48,25.95,2026-09-22
5,301689,电科思仪,61.51,-1.9,-1.19,266685,1698597076.17,8.72,66.66,61.19,64.11,62.7,1.05,46.33,171.13,13.3,2026-09-22
6,301699,洛轴股份,30.81,-1.91,-0.6,245985,778702054.1,13.21,34.48,30.33,31.81,31.41,0.82,35.18,39.05,4.81,2026-09-22
7,603448,天博智能,61.6,-1.79,-1.12,47502,295232974.0,3.2,63.46,61.45,62.98,62.72,1.02,20.2,22.71,2.0,2026-09-22
8,301688,格林生物,39.17,-2.08,-0.83,65673,259869155.82,4.1,40.71,39.07,40.01,40.0,1.04,25.27,26.51,3.22,2026-09-22
9,601123,马矿股份,18.6,-4.91,-0.96,507793,983744677.0,9.71,20.5,18.6,20.5,19.56,2.25,52.99,27.42,4.66,2026-09-22
10,301697,贝特利,27.5,-1.47,-0.41,102636,288024991.77,5.98,28.99,27.32,28.01,27.91,0.96,23.33,38.02,4.38,2026-09-22
11,688835,高凯技术,360.08,-2.36,-8.72,23937,855497630.0,6.59,375.0,350.7,364.01,368.8,0.71,12.74,169.52,16.12,2026-09-22
