序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301686,C中塑,258.08,-8.97,-25.42,49236,1377255294.7,19.86,309.95,253.66,260.02,283.5,0.68,56.38,104.98,10.22,2026-09-24
2,601091,沈鼓集团,27.0,-10.0,-3.0,552143,1522465538.0,6.2,28.86,27.0,27.7,30.0,0.37,26.15,150.2,12.18,2026-09-24
3,688837,信诺维,47.31,-11.74,-6.29,202622,1020530716.0,13.38,54.48,47.31,52.5,53.6,0.69,41.7,-61.4,9.29,2026-09-24
4,688801,燧原科技-U,490.0,-0.71,-3.5,27480,1398448371.0,7.52,527.1,490.0,495.0,493.5,0.82,15.35,-166.73,24.94,2026-09-24
5,301689,电科思仪,83.88,20.0,13.98,326418,2532466819.32,19.74,83.88,70.08,70.75,69.9,1.18,56.71,233.37,18.13,2026-09-24
6,301699,洛轴股份,35.54,19.99,5.92,258058,867521294.85,22.01,35.54,29.02,29.02,29.62,0.91,36.9,45.04,5.55,2026-09-24
7,603448,天博智能,62.17,1.42,0.87,52049,325278637.0,5.17,63.58,60.41,60.51,61.3,1.03,22.13,22.92,2.02,2026-09-24
8,301688,格林生物,40.4,-0.79,-0.32,92099,377950819.56,6.11,42.45,39.96,39.98,40.72,1.18,35.44,27.34,3.32,2026-09-24
9,601123,马矿股份,17.82,-1.49,-0.27,245840,438506856.0,3.92,18.23,17.52,17.74,18.09,0.91,25.65,26.27,4.46,2026-09-24
10,301697,贝特利,30.08,6.4,1.81,200341,600432047.01,15.63,32.21,27.79,27.91,28.27,1.76,45.54,41.59,4.79,2026-09-24
11,688835,高凯技术,380.85,7.32,25.97,37064,1397121618.0,13.57,397.7,349.56,349.56,354.88,1.42,19.73,179.3,17.05,2026-09-24
