序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688801,C燧原-U,444.97,4.88,20.71,42155,1876546998.0,11.55,469.0,420.0,424.0,424.26,0.41,23.55,-151.41,22.65,2026-09-15
2,301689,C电科思,48.33,-1.37,-0.67,210695,1043769012.78,8.22,51.94,47.91,48.05,49.0,0.59,36.6,134.46,10.45,2026-09-15
3,301699,C洛轴,26.53,0.42,0.11,263027,702028487.38,8.63,27.88,25.6,26.2,26.42,0.67,37.61,33.62,4.14,2026-09-15
4,603448,天博智能,59.62,-2.58,-1.58,35045,210994268.0,2.58,61.2,59.62,60.8,61.2,0.49,14.9,21.98,1.94,2026-09-15
5,301688,格林生物,35.79,-1.51,-0.55,40254,145725076.28,3.96,37.17,35.73,36.18,36.34,0.6,15.49,24.22,2.94,2026-09-15
6,601123,马矿股份,16.76,-0.18,-0.03,362200,621138861.0,5.72,17.59,16.63,17.2,16.79,1.31,37.8,24.7,4.2,2026-09-15
7,301697,贝特利,24.89,-1.5,-0.38,63392,160167976.28,3.64,25.8,24.88,25.14,25.27,0.68,14.41,34.41,3.96,2026-09-15
8,688835,高凯技术,307.88,-5.1,-16.53,39201,1231822073.0,7.57,329.93,305.36,325.0,324.41,1.38,20.87,144.94,13.79,2026-09-15
9,301655,绿控传动,21.64,-0.92,-0.2,42113,91979797.49,3.39,22.27,21.53,21.62,21.84,0.67,9.36,39.96,6.35,2026-09-15
10,688836,宇树科技-W,469.8,-0.04,-0.2,25269,1199793431.0,2.98,483.0,469.01,475.0,470.0,0.84,8.4,346.75,21.6,2026-09-15
11,688826,频准激光,785.27,2.72,20.78,9057,723865649.0,7.18,813.88,759.0,759.0,764.49,1.26,11.89,177.79,13.67,2026-09-15
