序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688828,C国仪-U,98.51,-14.25,-16.37,121675,1285541960.0,17.22,116.88,97.1,115.0,114.88,0.68,46.73,-280.18,27.8,2026-08-13
2,301717,C超纯,510.98,1.79,8.98,64048,3333196626.67,9.36,544.0,497.0,497.02,502.0,0.54,36.75,208.46,21.03,2026-08-13
3,301707,C展芯,91.2,-6.76,-6.61,103339,981350868.59,8.13,98.98,91.03,97.0,97.81,0.69,38.2,188.84,15.94,2026-08-13
4,603468,津富士达,26.78,-4.49,-1.26,119010,323668407.0,3.5,27.76,26.78,27.76,28.04,0.61,29.76,29.28,3.08,2026-08-13
5,001232,嘉立创,167.29,-2.0,-3.41,90911,1556164247.7,4.57,175.09,167.29,171.13,170.7,0.55,20.57,61.71,7.73,2026-08-13
6,301677,欣兴工具,61.27,-1.16,-0.72,55180,345793548.27,4.18,63.8,61.21,62.1,61.99,0.82,25.74,32.37,2.84,2026-08-13
7,688825,长鑫科技,52.88,-1.2,-0.64,4653777,25386081354.0,5.96,55.92,52.73,54.8,53.52,0.98,10.33,35.71,25.38,2026-08-13
8,688806,泰诺麦博-U,27.88,-1.76,-0.5,107002,305794731.0,6.55,29.5,27.64,28.28,28.38,0.91,20.97,-33.3,14.21,2026-08-13
