序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,001248,C华润,22.02,-8.06,-1.93,3830229,8496520696.9,7.43,23.38,21.6,22.18,23.95,0.53,36.05,44.28,2.52,2026-07-03
2,001399,惠科股份,42.14,-10.0,-4.68,264867,1146305083.72,9.97,46.81,42.14,46.0,46.82,0.13,6.15,77.23,9.18,2026-07-03
3,688797,臻宝科技,540.1,-19.15,-127.91,108527,6289738191.0,17.51,655.0,538.0,648.0,668.01,0.98,37.18,410.93,29.24,2026-07-03
4,301669,高特电子,38.38,-1.61,-0.63,130670,508327360.04,4.72,39.99,38.15,38.7,39.01,0.53,15.96,298.02,10.77,2026-07-03
