序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301686,C中塑,283.5,-34.53,-149.5,66311,2138186731.12,20.08,368.0,281.07,340.0,433.0,0.84,75.93,115.32,11.22,2026-09-23
2,601091,C沈鼓,30.0,-21.01,-7.98,1179925,3891473193.0,17.22,36.5,29.96,36.0,37.98,0.75,55.88,166.89,13.53,2026-09-23
3,688837,信诺维,53.6,1.36,0.72,203739,1110246149.0,9.27,56.9,52.0,52.0,52.88,0.63,41.93,-69.56,10.52,2026-09-23
4,688801,燧原科技-U,493.5,-3.2,-16.33,19103,950352830.0,5.58,515.97,487.51,510.0,509.83,0.5,10.67,-167.92,25.12,2026-09-23
5,301689,电科思仪,69.9,13.64,8.39,299751,1910788880.05,22.92,71.8,57.7,60.0,61.51,1.13,52.07,194.47,15.11,2026-09-23
6,301699,洛轴股份,29.62,-3.86,-1.19,189032,559149806.34,5.32,30.65,29.01,29.98,30.81,0.64,27.03,37.54,4.63,2026-09-23
7,603448,天博智能,61.3,-0.49,-0.3,34591,214363465.0,3.23,63.19,61.2,61.46,61.6,0.7,14.71,22.6,1.99,2026-09-23
8,301688,格林生物,40.72,3.96,1.55,78423,316525747.99,5.95,41.33,39.0,39.2,39.17,1.15,30.18,27.55,3.35,2026-09-23
9,601123,马矿股份,18.09,-2.74,-0.51,326362,587117177.0,8.28,19.02,17.48,18.1,18.6,1.28,34.06,26.66,4.53,2026-09-23
10,301697,贝特利,28.27,2.8,0.77,101013,282726340.83,4.4,28.49,27.28,27.9,27.5,0.88,22.96,39.09,4.5,2026-09-23
11,688835,高凯技术,354.88,-1.44,-5.2,16729,593986983.0,4.88,364.92,347.36,359.3,360.08,0.54,8.91,167.07,15.89,2026-09-23
