序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301688,C格林,41.19,-7.77,-3.47,112499,477889535.49,6.43,43.88,41.01,42.9,44.66,0.64,43.29,27.87,3.39,2026-09-04
2,601123,C马矿,17.54,-7.1,-1.34,396559,724064529.0,7.26,18.87,17.5,18.7,18.88,0.63,41.38,25.85,4.39,2026-09-04
3,301697,C贝特利,27.45,-8.44,-2.53,181303,519964674.67,8.97,30.06,27.37,29.6,29.98,0.69,41.21,37.95,4.37,2026-09-04
4,688835,高凯技术,271.0,-5.99,-17.26,26377,733244079.0,9.02,294.0,268.0,291.0,288.26,0.69,14.04,127.58,12.14,2026-09-04
5,301655,绿控传动,23.78,-3.37,-0.83,92702,225828513.96,5.61,25.0,23.62,24.65,24.61,0.53,20.62,43.91,6.98,2026-09-04
6,688836,宇树科技-W,530.3,-3.66,-20.15,38180,2074709047.0,5.27,557.88,528.85,555.0,550.45,0.84,12.69,391.4,24.38,2026-09-04
7,688826,频准激光,771.9,-2.83,-22.5,10351,805788846.0,7.44,811.0,751.87,799.0,794.4,0.8,13.59,174.77,13.44,2026-09-04
8,688828,国仪公司-U,91.0,-3.75,-3.55,33650,311229952.0,6.85,96.48,90.0,95.6,94.55,0.79,12.92,-258.82,25.69,2026-09-04
9,301717,超纯应材,354.46,1.71,5.97,41687,1489265451.41,6.28,369.88,348.0,350.79,348.49,1.11,23.92,158.18,14.29,2026-09-04
10,301707,展芯股份,73.13,-2.83,-2.13,40518,304825291.04,5.93,77.04,72.58,75.7,75.26,0.91,14.98,104.86,12.28,2026-09-04
11,603468,津富士达,23.37,-0.26,-0.06,23189,54350546.0,1.02,23.56,23.32,23.48,23.43,0.74,5.8,25.55,2.69,2026-09-04
