序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603182,嘉华股份,-9.97118091583252,15.62,258448886,2570271000.0,2570271000.0,23.459068298339844,9.87739086151123,5254583,141116,36869448,1,6,农产品加,2026-04-10
2,300720,海川智能,-19.993852615356445,52.06,1628448048,9092382651.460001,10145309947.36,275.50616455078125,17.084211349487305,22922018,144448,312133539,1,12,通用设备,2026-04-10
3,605299,舒华体育,-10.01838207244873,19.58,864812880,8012655320.339999,8012655418.24,89.81771850585938,10.4581937789917,44611013,140214,82304530,1,0,文娱用品,2026-04-10
4,000720,新能泰山,-9.950248718261719,5.43,1360586928,6822966430.53,6822966414.24,-1289.714599609375,19.390321731567383,58942535,141930,130474755,1,2,电网设备,2026-04-10
5,000890,法尔胜,-10.006333351135254,14.21,1137178288,5960967763.660001,5961151385.280001,-196.388916015625,18.6981143951416,106337906,132609,94452448,1,0,环保设备,2026-04-10
6,603588,高能环境,-9.972899436950684,16.61,2626665744,25300924330.77,25300924447.04,10.49422836303711,10.079529762268066,239612604,130009,244154757,1,2,环境治理,2026-04-10
7,000586,汇源通信,-9.99203872680664,22.61,574931024,4373678400.0,4373678400.0,222.1883544921875,12.748579978942871,276068122,093518,1667758820,1,1,通信设备,2026-04-10
8,002542,中化岩土,-10.0,2.43,45399204,4273814220.1200004,4388863668.4800005,-11.136221885681152,1.062264323234558,438807630,092500,462193047,2,0,专业工程,2026-04-10
