序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,002109,兴化股份,-10.0,4.05,333358848,5168892896.55,5168892916.8,-9.15673542022705,6.331507205963135,49005,150000,31213348,1,4,化学原料,2026-04-03
2,600792,云煤能源,-9.932279586791992,3.99,248264713,4428595164.0,4428595164.0,-18.2711238861084,5.522172927856445,388227,145518,25027275,1,2,焦炭Ⅱ,2026-04-03
3,002905,金逸影视,-10.0,9.18,205226061,3207859200.0,3454617600.0,136.48724365234375,6.278566360473633,8979141,141509,266983758,2,5,影视院线,2026-04-03
4,002578,闽发铝业,-9.905660629272461,3.82,355642096,3289640983.02,3585567272.3199997,-331.4478759765625,10.593145370483398,14462520,110351,63988430,1,0,工业金属,2026-04-03
5,600250,南京商旅,-9.970888137817383,12.37,629354304,3869229667.4799995,3869229716.9599996,152.91470336914062,15.345871925354004,14601844,143925,40067665,1,2,贸易Ⅱ,2026-04-03
6,002357,富临运业,-9.992313385009766,11.71,265441084,3670824874.0600004,3670956658.4,17.68967056274414,7.042405128479004,16338963,104848,41459255,2,2,铁路公路,2026-04-03
7,603016,新宏泰,-10.0,45.99,472111904,6813878400.0,6813878400.0,106.88726806640625,6.625724792480469,17301438,130021,80868816,1,14,电网设备,2026-04-03
8,600645,中源协和,-10.006333351135254,28.42,942951968,13294028089.300001,13299107624.320002,92.43467712402344,6.951035022735596,17839290,141510,133804229,1,8,生物制品,2026-04-03
9,600207,安彩高科,-10.0,6.39,530747472,6960707220.059999,6960707258.4,-14.601066589355469,7.347283840179443,19928486,143538,78460795,1,3,光伏设备,2026-04-03
10,000037,深南电A,-9.972298622131348,9.75,484099440,3304354462.5,5876935272.0,-221.0118865966797,14.327839851379395,20077833,142624,61738606,1,6,电力,2026-04-03
11,000048,京基智农,-10.02087688446045,17.24,686893312,9074438642.0,9142066093.439999,23.019245147705078,7.476885795593262,25176416,141700,781059658,3,16,养殖业,2026-04-03
12,002800,天顺股份,-10.004833221435547,18.62,171226941,2752834164.92,2834952107.54,-118.94880676269531,6.049923419952393,27618599,100451,22256858,1,1,物流,2026-04-03
13,000008,神州高铁,-9.935897827148438,2.81,980375472,7632794435.12,7633021280.8,-65.631591796875,12.52704906463623,28495414,143430,131827494,1,2,轨交设备,2026-04-03
14,600249,两面针,-9.943977355957031,6.43,428861344,3536500000.0,3536500000.0,359.1759948730469,11.857881546020508,29486057,104851,55910129,1,1,个护用品,2026-04-03
15,600844,金煤科技,-9.887639999389648,4.01,461254176,3299149842.3399997,4076262202.3999996,-34.426944732666016,13.765215873718262,30388024,130026,186491465,1,18,化学原料,2026-04-03
16,600644,乐山电力,-9.968354225158691,11.38,872109216,6581290908.84,6581290886.080001,281.22412109375,12.863262176513672,31785079,140639,86279746,1,0,电力,2026-04-03
17,000632,三木集团,-10.0204496383667,4.4,215522019,2048119066.4,2048286099.2,-11.242015838623047,10.26491641998291,35132680,105339,35883320,1,0,综合Ⅱ,2026-04-03
18,000993,闽东电力,-9.965636253356934,13.1,496662736,5760693193.2,5999164073.599999,101.89362335205078,8.523098945617676,46653003,103803,115615187,1,2,电力,2026-04-03
19,603017,中衡设计,-10.024752616882324,14.54,389666512,4015806860.22,4015806787.52,53.5268440246582,9.462533950805664,59648648,104258,54452300,1,4,工程咨询,2026-04-03
20,002923,润都股份,-9.97118091583252,15.62,352945456,4031285091.4599996,5231033033.599999,-71.7395248413086,8.60710620880127,60339435,100512,61854441,1,5,化学制药,2026-04-03
21,603008,喜临门,-10.014619827270508,12.31,415247296,4533679874.85,4533679837.92,8.51524829864502,9.024637222290039,64633408,093732,2946027968,2,4,家居用品,2026-04-03
22,600310,广西能源,-9.922179222106934,4.63,874730784,6786240642.86,6786240633.599999,-32.16868591308594,12.649348258972168,69326749,134544,138390417,1,6,电力,2026-04-03
23,002580,圣阳股份,-10.011709213256836,15.37,1604942160,6952447356.0,6975966407.04,32.670589447021484,22.678396224975586,95021566,141827,377527243,1,15,电池,2026-04-03
24,600513,联环药业,-9.983739852905273,27.68,1055545680,7901429553.6,7901429608.96,-169.01626586914062,12.97025203704834,180792750,110042,85528432,1,0,化学制药,2026-04-03
