序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,601599,浙文影业,-9.929078102111816,5.08,1316113552,5895555661.24,5895555635.84,32.31436538696289,21.884136199951172,14165072,143746,285581840,1,17,纺织服装,2026-02-11
2,002905,金逸影视,-9.973404884338379,13.54,532090832,4731417600.0,5095372800.0,201.3112335205078,11.131753921508789,25543210,132633,207097547,1,8,文化传媒,2026-02-11
3,000056,皇庭国际,-9.95850658416748,2.17,465749824,1961086576.61,2566086246.08,-0.7873427271842957,23.3013973236084,26582749,133745,94839197,1,2,房地产服,2026-02-11
4,603103,横店影视,-9.997525215148926,36.37,1464166048,23065854000.0,23065854000.0,83.97723388671875,6.232414245605469,53158246,135541,476340686,1,10,文化传媒,2026-02-11
5,002830,名雕股份,-10.0,27.72,389464560,1853151300.0,3696184800.0,174.294921875,20.85569953918457,58907744,111554,202274447,1,11,装修装饰,2026-02-11
