序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,002909,集泰股份,-9.987516403198242,7.21,1135015040,2742881431.43,2811900000.0,-102.87174987792969,37.838600158691406,1333049,145418,105587563,1,11,化学制品,2026-09-04
2,003032,传智教育,-10.0,9.72,952070688,2765161229.76,3911789738.88,56.827579498291016,32.55109405517578,1634894,145351,634034628,2,1,教育,2026-09-04
3,605068,明新旭腾,-10.0,21.15,232201357,3430498169.25,3430498169.25,-35.88161849975586,6.555734634399414,7379235,130636,83464245,1,53,汽车零部,2026-09-04
4,603256,宏和科技,-10.0,120.69,3344578112,109174538047.05,109174538409.12,143.8450469970703,2.946467876434326,19380882,150000,267417296,1,10,玻璃玻纤,2026-09-04
5,003005,竞业达,-9.985387802124023,18.48,895051152,2479917594.0,4276063009.6800003,-28.749780654907227,35.21451187133789,20388817,143036,937686286,1,4,IT服务Ⅱ,2026-09-04
6,600892,大晟文化,-9.908256530761719,4.91,831202368,2746258921.76,2746969182.7200003,-35.35220718383789,29.76588249206543,30500478,141329,1498486828,1,10,游戏Ⅱ,2026-09-04
7,000977,浪潮信息,-9.994209289550781,77.72,13708426752,114008685406.08,114130005704.31999,19.33281707763672,11.649561882019043,55389101,140651,819144859,1,1,计算机设,2026-09-04
8,000017,深中华A,-10.018903732299805,9.52,1016791280,4196624973.52,6561040514.559999,309.981201171875,24.106401443481445,61664790,132330,1263779296,2,12,饰品,2026-09-04
9,600121,郑州煤电,-10.017574310302734,5.12,668913072,6238269634.56,6238269603.84,-9.203359603881836,10.710958480834961,152258862,100145,1262111631,1,8,煤炭开采,2026-09-04
