序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,001359,平安电工,-9.994834899902344,69.7,427592432,4202192787.0,16808441745.800001,76.04608917236328,9.893927574157715,211888,150000,21675306,1,8,塑料,2026-07-30
2,002774,快意电梯,-10.020039558410645,13.47,217386880,3795417451.9500003,4535186066.88,-573.5831909179688,5.367124557495117,502431,145654,23387961,1,3,专用设备,2026-07-30
3,001358,兴欣新材,-10.007412910461426,24.28,302572512,1237704758.24,2991296000.0,34.76039123535156,22.81644630432129,682268,144815,12628028,1,0,化学制品,2026-07-30
4,603211,晋拓股份,-10.01780891418457,20.21,233448213,5493239680.0,5493239680.0,121.22256469726562,4.124455451965332,1645094,144915,40874725,1,23,汽车零部,2026-07-30
5,603757,大元泵业,-10.003560066223145,50.56,438233248,9431829415.04,9431829415.04,205.77389526367188,4.510224342346191,1678592,144930,96155008,1,30,通用设备,2026-07-30
6,605111,新洁能,-10.00376033782959,47.86,1272116704,19877816656.62,19877816321.6,52.56277847290039,6.177224636077881,3264052,145352,132998243,1,35,半导体,2026-07-30
7,002879,长缆科技,-9.983268737792969,16.14,674579168,2213423798.94,3116757309.6,575.0347900390625,28.3237361907959,3618588,145500,30619194,1,1,电网设备,2026-07-30
8,002881,美格智能,-10.0,33.93,458507440,6174915949.8,10249275816.0,54.920921325683594,7.169110298156738,3820959,145148,18675071,1,0,通信设备,2026-07-30
9,000510,新金路,-9.972298622131348,13.0,713113904,7885935096.0,8431066592.0,-41.49058151245117,8.772284507751465,3927300,144015,142292241,1,32,化学原料,2026-07-30
10,600379,宝光股份,-9.974424362182617,10.56,224774565,3486928515.84,3486928558.0800004,94.52262878417969,6.213810443878174,4026528,150000,6118464,1,2,电网设备,2026-07-30
11,002990,盛视科技,-9.988080978393555,37.76,370682000,5211580938.88,9887536730.88,648.88134765625,6.871032238006592,5082496,144530,13389696,1,11,计算机设,2026-07-30
12,001229,魅视科技,-10.00285816192627,31.49,166368010,2322425445.45,4516676829.0,-240.96646118164062,6.909582138061523,5317401,142342,19617006,1,32,计算机设,2026-07-30
