序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603291,联合水务,-9.992132186889648,11.44,195698184,1486548800.8799999,4841643755.5199995,59.271121978759766,12.93858814239502,11415976,100438,125634080,1,5,公用事业,2026-02-04
2,603172,万丰股份,-9.990363121032715,28.02,415086592,1403241600.0,3737307600.0,75.2552719116211,28.95547866821289,28462099,130024,309781345,1,34,化学原料,2026-02-04
3,605151,西上海,-9.991974830627441,22.43,89941595,3018051199.46,3018051199.46,2631.239990234375,2.96854305267334,84921280,093050,1137571095,1,0,汽车零部,2026-02-04
4,002995,天地在线,-10.002703666687012,33.29,1054578912,3742368854.3199997,5907459639.2,-99.89108276367188,27.47800064086914,98181165,130042,112419363,1,5,文化传媒,2026-02-04
5,603598,引力传媒,-10.0,27.0,1059259584,7270098300.0,7278198192.0,268.1036071777344,14.276455879211426,116756100,103632,168922800,1,2,文化传媒,2026-02-04
