序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600992,贵绳股份,-9.97280216217041,9.93,261841852,2433743700.0,2433743700.0,-11.139970779418945,10.644041061401367,180726,150000,130845117,1,32,通用设备,2026-07-21
2,603303,得邦照明,-10.0,18.54,233243014,8842552420.5,8842552439.039999,49.87507247924805,2.6214659214019775,593280,150000,93597333,1,24,照明设备,2026-07-21
3,002723,小崧股份,-10.0,6.48,115838666,2054482917.8400002,2153627170.56,-17.92021369934082,5.59079647064209,2100816,143009,49674384,2,5,照明设备,2026-07-21
4,603120,肯特催化,-9.993918418884277,44.4,295084032,1682760000.0,4013760000.0,51.820152282714844,17.398778915405273,4798929,150000,492959878,2,10,化学制品,2026-07-21
5,002141,贤丰控股,-9.926470756530762,4.9,1401477184,5061385410.200001,5061385380.8,127.23857116699219,27.29610824584961,7371094,145306,702119733,2,17,元件,2026-07-21
6,603065,宿迁联盛,-9.974093437194824,13.9,633277136,5823649250.8,5823649195.2,267.6794128417969,10.75813102722168,7372629,150000,1561646637,5,9,化学制品,2026-07-21
7,920305,云创退,-29.577463150024414,1.0,823954,81100875.0,132376125.0,-5.894901275634766,1.0159618854522705,17496973,092502,20266408,2,0,IT服务Ⅱ,2026-07-21
8,002677,浙江美大,-10.055866241455078,6.44,60381117,3551723434.0,4160572613.1200004,357.4606018066406,1.690015196800232,48862856,093118,470551480,2,0,厨卫电器,2026-07-21
9,600227,赤天化,-10.089020729064941,3.03,331535264,3871127403.0899997,5116844870.4,-44.93760299682617,8.516422271728516,51296445,094118,215846595,1,4,农化制品,2026-07-21
10,603519,立霸股份,-10.0,15.84,94086007,4218632969.7599998,4218632969.7599998,31.19416046142578,2.2094573974609375,70858386,093545,73086076,1,1,家电零部,2026-07-21
11,001206,依依股份,-9.97912311553955,21.56,418324672,2303997714.48,3986310500.4799995,35.996700286865234,16.384286880493164,76478127,105118,38605335,1,0,个护用品,2026-07-21
12,001314,亿道信息,-10.005428314208984,49.74,119758998,6172703509.38,7094615160.0,41.33299255371094,1.9401384592056274,80126166,092500,501483654,2,0,消费电子,2026-07-21
13,001388,信通电子,-9.992515563964844,24.05,77088701,3009101656.6,5622072300.0,-114.9371566772461,2.5348753929138184,85262781,093033,40724923,1,0,电网设备,2026-07-21
14,603580,艾艾精工,-9.99258041381836,36.39,199919171,4755197748.0,4755197748.0,426.0915222167969,4.1980299949646,103822380,093059,1440236287,1,1,塑料,2026-07-21
15,603538,美诺华,-10.009654998779297,27.96,2006674032,9420281829.960001,9504392248.32,76.24970245361328,21.103891372680664,106849279,142341,4321132052,3,8,化学制药,2026-07-21
16,600881,亚泰集团,-10.052909851074219,1.7,121662530,5494656679.599999,5494656686.4,-6.116154670715332,2.1788740158081055,110027364,093115,2645863680,1,0,综合Ⅱ,2026-07-21
17,603669,灵康药业,-9.98307991027832,5.32,63394716,3789601797.8,3789601813.76,320.5110778808594,1.6728595495224,118795472,092502,1284328864,4,0,化学制药,2026-07-21
18,002632,道明光学,-9.968521118164062,8.58,98006766,4928573029.38,5359060175.04,32.6805534362793,1.9885424375534058,146354491,092500,502825752,2,0,塑料,2026-07-21
19,000779,甘咨询,-9.990917205810547,9.91,18517826,4605900479.55,4606459908.96,19.770885467529297,0.40204572677612305,217018753,092500,704689199,2,0,工程咨询,2026-07-21
20,688636,智明达,-20.01569938659668,20.38,42548610,3544212513.52,3544212513.52,49.67634582519531,1.2005095481872559,229375942,092504,832363158,1,0,军工电子,2026-07-21
21,603683,晶华新材,-10.0,18.63,19794375,5370021061.11,5425638448.32,53.06645965576172,0.36860889196395874,308617463,092502,88947072,4,0,化学制品,2026-07-21
