序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,001366,播恩集团,-10.0,13.05,303514048,2096874000.0,2096874000.0,103.01688385009766,14.174070358276367,1396350,150000,12257758,1,2,饲料,2026-09-03
2,002678,珠江钢琴,-10.038609504699707,4.66,143048131,6326296927.68,6329772691.2,-25.109724044799805,2.16015887260437,8886620,141406,43945198,1,9,文娱用品,2026-09-03
3,002679,福建金森,-9.967320442199707,11.02,357644672,2598031120.0,2598031120.0,-95.6441421508789,13.592631340026855,10088270,143057,643470856,1,4,林业Ⅱ,2026-09-03
4,002742,冀衡医药,-9.940357208251953,4.53,473268704,2373362687.19,3098982277.44,-76.94190216064453,19.534992218017578,16378663,144018,92133204,2,13,化学制药,2026-09-03
5,002855,捷荣技术,-9.994739532470703,17.11,679831184,4212947939.52,4216240759.02,-54.274688720703125,15.586522102355957,23269189,142830,703466082,1,2,消费电子,2026-09-03
6,600227,赤天化,-9.979633331298828,4.42,1428921760,5646991129.26,7464176345.599999,96.17670440673828,24.246912002563477,41085005,144530,104359735,1,1,农化制品,2026-09-03
7,002999,天禾股份,-9.959073066711426,6.6,291564576,2275093636.2,2294107200.0,37.549896240234375,12.63632583618164,41667978,100727,72136020,1,1,农化制品,2026-09-03
8,600722,金牛化工,-10.020769119262695,17.33,2515759856,11789939985.079998,11789940054.4,167.94898986816406,20.61749267578125,104156436,144116,122835160,1,0,化学原料,2026-09-03
9,000560,我爱我家,-10.06289291381836,2.86,1662197376,6700088020.34,6736732425.28,41.692138671875,24.016040802001953,107342706,142927,84366544,1,0,房地产服,2026-09-03
10,002886,沃特股份,-9.987030029296875,27.76,1429666896,5804009832.64,7306530964.400001,133.20608520507812,24.28767967224121,125215921,130018,441227488,1,12,塑料,2026-09-03
11,003032,传智教育,-10.0,10.8,493836512,3072401366.4,4346433043.2,63.141754150390625,15.304366111755371,155921338,101024,57575880,1,0,教育,2026-09-03
12,603221,爱丽家居,-10.008990287780762,30.03,183119571,7275368100.0,7275368100.0,-94.53559875488281,2.5168819427490234,211925313,093121,2905288386,1,1,家居用品,2026-09-03
13,603339,四方科技,-10.025873184204102,13.91,44862532,4304326744.25,4304326646.88,24.940603256225586,1.0422658920288086,230498200,092502,950578798,1,0,通用设备,2026-09-03
14,600540,新赛股份,-9.955423355102539,6.06,84210972,3523144377.6,3523144377.6,14.080282211303711,2.3902220726013184,308021582,092501,2405008566,1,0,种植业,2026-09-03
15,605179,一鸣食品,-10.0,28.08,78705432,11260080000.0,11260080000.0,144.3183135986328,0.698977530002594,315663791,092502,1509547104,2,0,饮料乳品,2026-09-03
16,000017,深中华A,-9.957447052001953,10.58,34466466,4663896241.58,7291576538.24,344.49591064453125,0.7390058636665344,510787492,092500,483959882,1,0,饰品,2026-09-03
