序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600084,中信尼雅,-100.0,0.0,0,0.0,0.0,-0.0,0.0,0,000000,0,1,0,非白酒,2026-04-28
2,603196,璞源材料,-10.00621509552002,28.96,390761840,6863180646.72,12125188262.4,128.05154418945312,5.507593154907227,2554272,140348,29669520,1,1,服装家纺,2026-04-28
3,002912,中新赛克,-9.99631118774414,24.4,212659703,3958210358.3999996,4166348799.9999995,-12.69802474975586,5.275614261627197,4514000,142324,35774304,1,16,计算机设,2026-04-28
4,601137,博威合金,-10.0,18.27,817797072,16768356727.5,16780780437.119999,-45.91948699951172,4.75737190246582,4698039,142903,1191452713,1,1,金属新材,2026-04-28
5,000856,冀东装备,-10.03752326965332,9.59,178532540,2176930000.0,2176930000.0,-39.54106140136719,8.119603157043457,5631248,133112,52286598,1,13,专用设备,2026-04-28
6,603583,捷昌驱动,-9.990944862365723,29.82,418792192,11398604198.1,11503690027.2,56.98052215576172,3.6456706523895264,10010454,133521,59693735,1,1,自动化设,2026-04-28
7,600841,动力新科,-10.032362937927246,8.34,331763600,8698824196.56,11574433745.28,79.934814453125,3.7631802558898926,10229010,133521,36072101,1,0,汽车零部,2026-04-28
8,002782,可立克,-10.0,19.08,354956064,9282442896.0,9462993425.279999,92.90652465820312,3.7686173915863037,10672398,111115,316630310,1,6,其他电子,2026-04-28
9,002373,千方科技,-9.979423522949219,8.75,603725184,12053888227.5,13826646820.0,925.26220703125,4.937346458435059,11330926,133624,113067389,1,12,IT服务Ⅱ,2026-04-28
10,603109,神驰机电,-10.00800609588623,22.48,222469892,4694911132.8,4694911132.8,50.55126953125,4.608315467834473,12579808,133647,38862524,1,1,通用设备,2026-04-28
11,603402,陕西旅游,-10.000757217407227,118.88,319683456,2298346745.92,9193386745.92,55.812744140625,13.686883926391602,24370043,133950,38457680,1,4,旅游及景,2026-04-28
12,603655,朗博科技,-10.0,46.62,174164050,4941720000.0,4941720000.0,150.24581909179688,3.4443395137786865,28885752,095024,44195760,1,1,汽车零部,2026-04-28
13,603105,芯能科技,-10.017574310302734,10.24,274421488,5120111656.96,5120111738.88,559.2948608398438,5.317641735076904,38474199,100009,197038448,1,1,电力,2026-04-28
14,002879,长缆科技,-10.009443283081055,19.06,103298575,2627783235.2999997,3680631618.3999996,679.068359375,3.912264347076416,42764159,094454,47671344,1,7,电网设备,2026-04-28
15,000917,电广传媒,-9.960552215576172,9.13,606084688,12941403984.19,12942289347.68,-34.923095703125,4.662665843963623,72837314,104906,1418444385,1,9,电视广播,2026-04-28
16,002290,禾盛新材,-10.003406524658203,79.26,1639745136,19592759319.300003,19665383275.800003,114.05674743652344,8.167235374450684,76427406,140527,152448524,1,9,家电零部,2026-04-28
17,002703,浙江世宝,-10.010110855102539,17.8,760508960,10431655717.2,14642856435.2,87.43475341796875,7.209270000457764,84701300,101530,553898741,1,2,汽车零部,2026-04-28
18,002036,联创电子,-9.944750785827637,8.15,345388560,8602062366.25,8619424221.6,-22.261812210083008,4.011537551879883,91548550,094136,1021018387,1,4,光学光电,2026-04-28
19,003041,真爱美家,-9.996786117553711,56.0,217634252,7662110400.0,8064000000.0,429.9831237792969,2.8296329975128174,96410944,093933,342731200,1,3,服装家纺,2026-04-28
20,002514,宝馨科技,-10.0,3.78,29106378,2094249517.9199998,2721729548.16,-37.48539352416992,1.3898237943649292,114500856,092500,171731826,1,0,通用设备,2026-04-28
21,002326,永太科技,-9.99265193939209,24.5,2195111792,19799896529.0,22665626984.0,54.138912200927734,10.925768852233887,116466777,133624,219568581,1,5,化学制品,2026-04-28
22,600965,福成股份,-10.0,4.23,4537098,3463105039.6500006,3463105060.8,48.289459228515625,0.131012424826622,162105731,092504,63769365,2,0,养殖业,2026-04-28
23,000010,美丽生态,-10.059171676635742,3.04,38459040,2639152090.4,3494942955.52,-82.15935516357422,1.4572498798370361,168599920,092500,239965440,1,0,基础建设,2026-04-28
24,603359,东珠生态,-9.90099048614502,4.55,11618425,2029736800.0,2029736800.0,-50.3377571105957,0.5724104046821594,177403057,092504,704777710,2,0,基础建设,2026-04-28
25,600053,九鼎投资,-10.0,11.43,7676388,4955371344.0,4955371344.0,-74.42876434326172,0.15491044521331787,196958513,092504,467304120,2,0,多元金融,2026-04-28
26,002323,雅博股份,-9.743590354919434,1.76,70588672,3731872186.2400002,3732705039.36,-46.415836334228516,1.8915083408355713,213567068,092500,414182560,1,0,专业工程,2026-04-28
27,002225,濮耐股份,-9.95850658416748,4.34,30054500,4117019879.2799997,5031097919.68,66.53475189208984,0.730006217956543,242507911,092500,270858532,2,0,装修建材,2026-04-28
28,002779,中坚科技,-10.0,84.06,54403632,13937848640.1,15534288000.0,90.0179443359375,0.3903301954269409,425555767,092500,404000766,1,0,专用设备,2026-04-28
29,603360,百傲化学,-9.986859321594238,20.55,40074555,14512896089.7,14512895966.4,182.98068237304688,0.27613064646720886,503614287,092504,606019500,1,0,农化制品,2026-04-28
30,600410,华胜天成,-10.0,23.4,2856491008,25657975582.199997,25657975699.199997,-69.4989242553711,11.027050971984863,680287678,100413,15763371117,1,0,IT服务Ⅱ,2026-04-28
