类别,周一0323,周二0324,周三0325,周四0326,周五0327
市场焦点股,"华电辽能 6连板;
正泰电源 9天5板2连板;
大胜达 4连板;
东方新能 6天4板3连板;","华电辽能 7连板;
中南文化 12天7板;
韶能股份 5天4板;
中利集团 3连板;","华电辽能 8连板;
华电能源 12天7板;
韶能股份 6天5板2连板;
中利集团 4连板;","华电能源 13天8板2连板;
大胜达 7天5板;
美诺华 10天5板3连板;","中南文化 15天8板;
美诺华 11天6板4连板;
奥瑞德 8天5板;
融捷股份 4连板;
新能泰山 4连板;"
电力,"7只;
华电辽能 6天6板;
东方新能 6天4板;
立新能源 3天2板;","15只;
华电辽能 7天7板;
韶能股份 5天4板;
粤电力A 5天3板;
辽宁能源 2天2板;
浙江新能 2天2板;
荣晟环保 3天2板;","16只;
华电辽能 8天8板;
华电能源 12天7板;
韶能股份 6天5板;
粤电力A 6天4板;
辽宁能源 3天3板;
浙江新能 3天3板;
湖南发展 2天2板;
节能风电 2天2板;
宁波能源 2天2板;","7只;
华电能源 13天8板;
湖南发展 3天3板;
中闽能源 2天2板;","6只;
中南文化 15天8板;
宁波能源 4天3板;
广西能源 6天3板;
晋控电力 2天2板;"
光伏,"4只;
中利集团 2天2板;","6只;
中利集团 3天3板;
拓日新能 2天2板;",,2只;,
化工,4只;,,,"4只;
渤海化学 2天2板;
金煤科技 4天2板;","10只;
金煤科技 5天3板;"
机器人概念,4只;,1只;,3只;,"2只;
联翔股份 4天2板;","3只;
建设工业 4天2板;"
单车,3只;,,,,
智能电网,"2只;
正泰电源 9天5板;
新宏泰 4天2板;",8只;,,"3只;
新能泰山 3天3板;","2只;
新能泰山 4天4板;"
其他,"瑞斯康达 10天5板;
大胜达 4天4板;
顺灏股份 5天3板;","雪浪环境 2天2板;
华塑控股 3天2板;","美诺华 4天3板;
宏柏新材 2天2板;
江南高纤 2天2板;
融捷股份 2天2板;
歌力思 2天2板;
狮头股份 2天2板;","大胜达 7天5板;
铭普光磁 6天3板;
中国铁物 2天2板;","舒华体育 10天5板;
狮头股份 4天3板;
海星股份 4天2板;"
锂电池,,9只;,,"7只;
融捷股份 3天3板;
丽岛新材 3天2板;","23只;
融捷股份 4天4板;
石大胜华 6天3板;
大东南 2天2板;"
光通信,,"5只;
云南锗业 3天2板;",6只;,,"5只;
云南锗业 6天3板;
杭电股份 3天2板;"
军工,,"5只;
恒天海龙 3天2板;","2只;
湖南天雁 2天2板;
长城军工 2天2板;",,
纺织服装,,4只;,,,
芯片产业链,,4只;,4只;,,3只;
氢能,,3只;,,,
算力工程,,"3只;
奥瑞德 5天3板;
莲华控股 4天2板;","8只;
奥瑞德 6天4板;
真视通 2天2板;",,"3只;
奥瑞德 8天5板;"
航运,,2只;,,,
体育产业,,"2只;
舒华体育 3天2板;","2只;
舒华体育 8天4板;",,
节能环保,,2只;,,,
新型城镇化,,2只;,2只;,,
AI应用,,2只;,1只;,,
CRO/CMO,,"1只;
美诺华 3天2板;",,,
PCB,,1只;,2只;,,
稀土永磁,,1只;,,,
光纤光缆,,,"8只;
中利集团 4天4板;
新能泰山 2天2板;
通鼎互联 2天2板;
长飞光纤 2天2板;",,
福建,,,4只;,,
液冷IDC,,,2只;,,2只;
储能,,,2只;,,
商业航天,,,2只;,"5只;
再升科技 2天2板;","2只;
神剑股份 2天2板;"
医药,,,,"5只;
美诺华 5天4板;
万邦德 3天2板;","23只;
美诺华 6天5板;
万邦德 4天3板;
双鹭药业 3天2板;"
食品饮料,,,,,3只;
有色金属概念,,,,,2只;
