类别,周一0406,周二0407,周三0408,周四0409,周五0410
市场焦点股,,"新能泰山 10天8板3连板;
津药药业 7连板;
大胜达 14天7板;
舒华体育 12天6板;","美诺华 13天7板;
神剑股份 9天5板;
汇源通信 4连板;","汇源通信 5连板;
华远控股 3连板;","华远控股 4连板;
中嘉博创 3连板;
来伊份 3连板;
长源东谷 3连板;"
化工,,"28只;
齐翔腾达 4天2板;",,,
体育产业,,6只;,,,
芯片产业链,,"6只;
大胜达 14天7板;
和顺石油 3天2板;
柏诚股份 4天2板;",7只;,"3只;
柏诚股份 6天3板;",6只;
医药,,"6只;
津药药业 7天7板;","3只;
金陵药业 2天2板;",3只;,3只;
有机硅,,5只;,,,
PCB,,4只;,10只;,,
光纤光缆,,"4只;
新能泰山 10天8板;
汇源通信 3天3板;
华脉科技 3天2板;","4只;
汇源通信 4天4板;
通鼎互联 2天2板;
远东股份 3天2板;","4只;
汇源通信 5天5板;",
储能,,3只;,,2只;,"8只;
中恒电气 2天2板;
新朋股份 2天2板;
圣阳股份 2天2板;"
光通信,,"3只;
华盛昌 6天3板;","6只;
科瑞技术 2天2板;","3只;
华懋科技 2天2板;","3只;
永鼎股份 3天2板;"
猪肉产业,,2只;,,,
钠电池,,"2只;
圣泉集团 2天2板;",,,
折叠屏,,2只;,,2只;,
电力,,"2只;
新中港 5天4板;",,,
跨境支付,,"1只;
翠微股份 2天2板;",,,
其他,,"国晟科技 6天3板;
中安科 2天2板;
中工国际 3天2板;","新中港 6天5板;
中安科 3天3板;
中工国际 4天3板;
高乐股份 2天2板;
华远控股 2天2板;
普邦股份 2天2板;","华远控股 3天3板;
来伊份 2天2板;
长源东谷 2天2板;
中嘉博创 2天2板;
法狮龙 2天2板;
诚志股份 3天2板;","华远控股 4天4板;
长源东谷 3天3板;
来伊份 3天3板;
长江通信 2天2板;
联翔股份 3天2板;"
算力工程,,,16只;,,"2只;
中嘉博创 3天3板;"
AI应用,,,"13只;
粤传媒 2天2板;",,4只;
有色金属概念,,,10只;,,
发电机概念,,,9只;,,"3只;
万泽股份 3天2板;
联德股份 3天2板;"
液冷IDC,,,7只;,"4只;
博杰股份 2天2板;
大元泵业 2天2板;
飞龙股份 2天2板;",2只;
商业航天,,,6只;,"3只;
巨力索具 2天2板;
航天电器 3天2板;",3只;
机器人概念,,,2只;,4只;,
民航,,,2只;,,
工程机械,,,2只;,,
高铁轨交,,,"2只;
九州一轨 3天2板;",,
消费电子,,,2只;,,
大金融,,,1只;,,
玻璃基板,,,,3只;,"4只;
彩虹股份 2天2板;
五方光电 2天2板;
沃格光电 2天2板;"
业绩超预期,,,,"3只;
东山精密 2天2板;",4只;
华为产业链,,,,3只;,
稀土永磁,,,,2只;,
锂电池,,,,,"13只;
和胜股份 2天2板;"
数字货币,,,,,2只;
内蒙古,,,,,2只;
