类别,周一0330,周二0331,周三0401,周四0402,周五0403
市场焦点股,"美诺华 12天7板5连板;
中利集团 7天5板;
狮头股份 5天4板2连板;
神剑股份 3连板;","新能泰山 6天5板;
舒华体育 8天5板;
神剑股份 4连板;
万邦德 6天4板;
津药药业 3连板;","奥瑞德 11天6板;
大胜达 11天6板;
津药药业 4连板;","新能泰山 8天6板;
中利集团 10天6板;
津药药业 5连板;
星辉环材 3连板;","新能泰山 9天7板2连板;
津药药业 6连板;"
医药,"11只;
美诺华 7天6板;
双鹭药业 4天3板;
津药药业 2天2板;
联环药业 2天2板;
九安医疗 2天2板;","7只;
万邦德 6天4板;
津药药业 3天3板;","12只;
津药药业 4天4板;
凯莱英 2天2板;","12只;
津药药业 5天5板;
双鹭药业 7天4板;
北大医药 2天2板;
益佰制药 2天2板;","4只;
津药药业 6天6板;
重药控股 2天2板;"
商业航天,"9只;
神剑股份 3天3板;
再升科技 4天3板;
江顺科技 4天2板;","5只;
神剑股份 4天4板;",,"2只;
通达股份 3天3板;",
有色金属概念,8只;,,,,
光纤光缆,"6只;
中利集团 7天5板;
杭电股份 4天3板;
长飞光纤 5天3板;
法尔胜 2天2板;
长江通信 4天2板;","2只;
新能泰山 6天5板;",,"6只;
新能泰山 8天6板;
中利集团 10天6板;","5只;
新能泰山 9天7板;
汇源通信 2天2板;"
机器人概念,"5只;
联翔股份 6天3板;",5只;,"4只;
通达股份 2天2板;",,4只;
化工,"4只;
中农联合 2天2板;
苏利股份 2天2板;",,,,3只;
福建,"3只;
平潭发展 4天2板;
漳州发展 4天2板;","4只;
平潭发展 5天3板;
闽发铝业 2天2板;",,,
锂电池,3只;,,3只;,"4只;
大东南 6天4板;",
农业种植,2只;,,,,
光通信,2只;,,4板;,,14只;
算力工程,"2只;
贵广网络 2天2板;",,"6只;
奥瑞德 11天6板;",,5只;
其他,狮头股份 5天4板;,大东南 4天3板;,"星辉环材 2天2板;
新中港 2天2板;
宁波富达 3天2板;
锡华科技 4天2板;","星辉环材 3天3板;
合富中国 4天2板;",
高铁轨交,,"8只;
中国铁物 5天3板;
神州高铁 2天2板;",,,
体育产业,,"6只;
舒华体育 12天6板;
宏昌科技 2天2板;",,,
汽车产业链,,3只;,,,
AI应用,,"3只;
天地在线 3天2板;","2只;
九安医疗 4天3板;",,2只;
光伏,,"3只;
棒杰股份 2天2板;
京运通 4天2板;","1只;
国晟科技 3天2板;",,
盾构机,,2只;,,,
智能电网,,2只;,,,
业绩超预期,,"2只;
安徽建工 2天2板;",,,
电力,,"2只;
深南电A 4天2板;",,"2只;
新中港 3天3板;",
PCB,,,3只;,,
液冷IDC,,,3只;,,
航运,,,2只;,,
芯片产业链,,,2只;,,7只;
游戏,,,2只;,,
日化用品,,,1只;,,
石油石化,,,,7只;,
