类别,周一0112,周二0113,周三0114,周四0115,周五0116
市场焦点股,"嘉美包装 17天13板2连板;
锋龙股份 12连板;
鲁信创投 12天10板5连板;
雷科防务 9天7板;
金风科技 11天7板5连板;
志特新材 6连板","锋龙股份 13连板;
鲁信创投 13天11板6连板;
友邦吊顶 9天7板2连板;
引力传媒 7天6板3连板;","嘉美包装 19天14板;
友邦吊顶 10天8板3连板;
银河电子 8天7板;
利欧股份 9天6板4连板;
海格通信 11天6板3连板;
直真科技 5连板;","博菲电气 8天5板4连板;
人民网 4连板;
三变科技 7天4板3连板;
外服控股 3连板;","博菲电气 9天6板5连板;
新华百货 3连板;
德邦股份 3连板;
五矿发展 3连板;"
AI应用,"69只;
志特新材 6天6板;
引力传媒 6天5板;
利欧股份 7天4板;
亚联发展 3天3板;
博瑞传播 6天3板;
税友股份 6天3板;
天下秀 6天3板;
美年健康 2天2板;
恒为科技 2天2板;
浙文互联 2天2板;
迪安诊断 2天2板;
省广集团 2天2板;
易点天下 2天2板;
众诚科技 2天2板;
国新健康 2天2板;
天龙集团 2天2板;
粤传媒 2天2板;
昆仑万维 2天2板;
金域医学 2天2板;","24只;
引力传媒 7天6板;
利欧股份 8天5板;
直真科技 4天4板;
省广集团 3天3板;
天龙集团 3天3板;
人民网 2天2板;
普路通 2天2板;
居然智家 2天2板;
视觉中国 2天2板:
新华网 2天2板;","30只;
利欧股份 9天6板;
直真科技 5天5板;
省广集团 4天4板;
天下秀 8天4板;
人民网 3天3板;
新华网 3天3板;
浙文互联 4天3板;
粤传媒 4天3板;
外服控股 2天2板;
光云科技 3天2板;
通达海 3天2板;
用友网络 3天2板;
三维天地 3天2板;
流金科技 3天2板;
值得买 3天2板;
壹网壹创 3天2板;","8只;
人民网 4天4板;
外服控股 3天3板;
视觉中国 4天3板;
华胜天成 5天3板;
七彩化学 2天2板;
石基信息 2天2板;",
商业航天,"42只;
鲁信创投 12天10板;
雷科防务 9天7板;
金风科技 11天7板;
银河电子 6天6板;
中国卫通 10天6板;
航天电子 11天6板;
东方明珠 4天4板;
东方通信 8天4板;
巨力索具 3天3板;
杭萧钢构 3天3板;
中衡设计 3天3板;
通宇通讯 4天3板;
邵阳液压 4天3板;
三维通信 2天2板;
达华智能 2天2板;
信科移动-U 2天2板;
国机精工 2天2板;
电广传媒 2天2板;
盛洋科技 3天2板;","9只;
鲁信创投 13天11板;
东方通信 9天5板;
海格通信 10天5板;
杭萧钢构 4天4板;
巨力索具 4天4板;
三维通信 3天3板;
钧达股份 6天3板;
电科芯片 2天2板;","15只;
银河电子 8天7板;
海格通信 11天6板;
江顺科技 7天5板;
三维通信 4天4板;
金隅集团 3天3板;
盛路通信 3天2板;","3只;
盛路通信 4天3板;
拓日新能 2天2板;","6只;
大唐电信 3天2板;"
核电,"10只;
中国一重 4天4板;
弘讯科技 4天4板;
雪人集团 4天3板;
中国核建 4天3板;
安泰科技 2天2板;","3只;
博菲电气 6天3板;
金隅集团 2天2板;","4只;
中国一重 6天5板;
博菲电气 7天4板;",,
光伏,"7只;
华光环能 4天2板;",,,,
算力工程,"4只;
直真科技 3天3板;",,"4只;
大位科技 4天2板;
华胜天成 4天2板;",,
机器人概念,"4只;
锋龙股份 11天11板;
旭升集团 2天2板;","4只;
锋龙股份 12天12板;","2只;
新泉股份 4天2板;",2只;,"18只;
新泉股份 6天3板;"
量子科技,"3只;
东信和平 2天2板;",,"2只;
科大国创 3天2板;",,
人脑工程,"3只;
岩山科技 6天5板;",,,,
食品饮料,"3只;
安记食品 3天2板;",,,,
芯片产业链,2只;,,5只;,16只;,"35只;
康强电子 2天2板;
圣晖集成 3天2板;
亚翔集成 3天2板;"
液冷IDC,2只;,,,,
稀土永磁,2只;,,,,
纺织服装,2只;,,,,
金融科技,1只;,,1只;,,
其他,"友邦吊顶 7天5板;
展鹏科技 4天3板;
交运股份 2天2板;","友邦吊顶 8天6板;
展鹏科技 5天4板;
交运股份 3天3板;
三江购物 2天2板;
明牌珠宝 2天2板;
德龙汇能 2天2板;
炬申股份 2天2板;
真爱美家 2天2板;","嘉美包装 19天13板;
友邦吊顶 9天7板;
国晟科技 8天4板;
明牌珠宝 3天3板;
德龙汇能 3天3板;
国际医学 2天2板;
山子高科 3天2板;","德邦股份 2天2板;
德才股份 2天2板;
坤泰股份 3天2板;","德邦股份 3天3板;
新华百货 3天3板;
五矿发展 2天2板;"
AI医疗,,"20只;
美年健康 3天3板;
泓博医药 3天2板;","3只;
美年健康 4天4板;
新里程 2天2板;",,
智能电网,,9只;,,"3只;
三变科技 7天4板;","12只;
博菲电气 9天6板;"
合成生物,,3只;,,,
创新药,,3只;,"2只;
海王生物 2天2板;",,
油气设服,,3只;,1只;,,
商业零售,"5只;
茂业商业 2天2板;",,"3只;
三江购物 3天3板;","3只;
新华百货 2天2板;
新华都 2天2板;",
IDC电源,,,"2只;
三变科技 6天3板;",,
有色金属概念,,,2只;,3只;,
AI眼镜,,,1只;,,
光通信,,,1只;,4只;,"3只;
世嘉科技 2天2板;"
PVC,,,1只;,,
固态电池,,,,4只;,
化工,,,,"4只;
博菲电气 8天5板;",
旅游酒店,,,,"3只;
众信旅游 2天2板;",
电力,,,,2只;,
家居装饰,,,,,3只;
轮胎,,,,,2只;
