类别,周一0309,周二0310,周三0311,周四0312,周五0313
市场焦点股,"顺钠股份 4连板;
王力安防 4连板;
金开新能 7天4板2连板;
美利云 3连板;","亚盛集团 8天6板;
王力安防 5连板;
宁波建工 3连板;","亚盛集团 9天7板2连板;
宁波建工 4连板;
金牛化工 8天4板;
中南文化 3连板;","汉缆股份 15天8板;
法尔胜 14天7板;
金牛化工 9天5板2连板;
金开新能 10天5板;
中南文化 4连板;","法尔胜 15天8板2连板;
金牛化工  10天6板3连板;
中南文化 5连板;
华电能源 4连板;"
算力工程,"16只;
美利云 3天3板;
拓维信息 2天2板;","6只;
群兴玩具 2天2板;",,,
智能电网,"11只;
顺钠股份 4天4板;
三星医疗 2天2板;",2只;,"7只;
鼎信通讯 2天2板;
中国能建 4天2板;","3只;
中国能建 5天3板;",
电力,"8只;
金开新能 7天4板;
协鑫能科 2天2板;
韶能股份 2天2板;
银星能源 4天2板;","4只;
中南文化 2天2板;","6只;
中南文化 3天3板;
绿发电力 2天2板;
华电能源 2天2板;","12只;
金开新能 10天5板;
中南文化 4天4板;
绿发电力 3天3板;
华电能源 3天3板;
协鑫能科 5天3板;
节能风电 2天2板;
绿色动力 2天2板;","3只;
中南文化 5天5板;
华电能源 4天4板;"
AI应用,"7只;
王力安防 4天4板;","5只;
王力安防 5天5板;","3只;
国安股份 2天2板;",,
储能,6只;,,6只;,"6只;
正泰电源 2天2板;",3只;
创新药,"3只;
万泽股份 2天2板;",3只;,,,
油气设服,2只;,,,,
化工,"2只;
赤天化 6天3板;",,"16只;
金牛化工 8天4板;
粤桂股份 4天2板;
金浦钛业 4天2板;
新疆天业 4天2板;","11只;
金牛化工 9天5板;","11只;
金牛化工 20天10板;
潞化科技 2天2板;
三房巷 2天2板;"
工业母机,2只;,,2只;,,
其他,宁波建工 2天2板;,"亚盛集团 8天6板;
宁波建工 3天3板;","亚盛集团 9天7板;
宁波建工 4天4板;
祥龙电业 2天2板;
黄河旋风 2天2板;
威领股份 4天2板;","宏景科技 4天2板;
海南矿业 4天2板;","环宇数控 5天3板;
法尔胜 2天2板;
嘉美包装 4天2板;"
光通信,,"16只;
汇绿生态 4天2板;","2只;
瑞斯康达 2天2板;",4只;,"2只;
瑞斯康达 4天3板;"
PCB,,11只;,3只;,,3只;
芯片产业链,,11只;,,,3只;
机器人概念,,9只;,,3只;,
商业航天,,"6只;
环宇数控 2天2板;",,,
液冷IDC,,"5只;
江顺科技 3天2板;
海鸥股份 3天2板;","2只;
腾龙股份 4天2板;",,
折叠屏,,"3只;
乐凯胶片 2天2板;",,,
发电机概念,,2只;,,,
固态电池,,,"3只;
国晟科技 4天2板;",,
MLED,,,3只;,2只;,
风电,,,,7只;,"8只;
大金重工 2天2板;"
煤炭,,,,3只;,"2只;
郑州煤电 2天2板;"
碳纤维,,,,2只;,
医疗机械,,,,,4只;
锂电池,,,,,4只;
核电,,,,,4只;
热泵,,,,,3只;
业绩超预期,,,,,2只;
