类别,周一0209,周二0210,周三0211,周四0212,周五0213
市场焦点股,"名雕股份 7天6板2连板;
横店影视 8天6板;
百川股份 9天6板2连板;
韩建山河 5连板;
凯龙高科 4连板;","横店影视 9天7板2连板;
百川股份 10天7板3连板;","百川股份 11天8板4连板;
金富科技 5天4板;
吉华集团 5天4板;","雅博股份 4连板;
大位科技 4连板;
掌阅科技 4连板;
德才股份 4连板;
特发信息 7天4板3连板;","掌阅科技 5连板;
豫能控股 3连板;
金时科技 3连板;
美邦股份 3连板;"
光伏,"14只;
协鑫集成 4天4板;
科森科技 2天2板;
亚玛顿 4天2板;
TCL中环 4天2板;
拓日新能 4天2板;","3只;
雅博股份 2天2板;","2只;
雅博股份 3天3板;",,
短剧,"13只;
横店影视 8天6板;
完美世界 2天2板;","8只;
兆驰股份 2天2板;
德才股份 2天2板;
掌阅科技 2天2板;
中文在线 2天2板;
引力传媒 2天2板;","3只;
掌阅科技 3天3板;
德才股份 3天3板;",,
影视,,"16只;
横店影视 9天7板;
欢瑞世纪 2天2板;
龙韵股份 2天2板;
博纳影业 2天2板;
捷成股份 2天2板;
上海电影 2天2板;
浙文影业 4天2板;
金逸影视 4天2板;","2只;
龙韵股份 3天3板;
欢瑞世纪 3天3板;",,
化工,"9只;
百川股份 9天6板;
闰土股份 2天2板;
金牛化工 2天2板;
海翔药业 2天2板;","5只;
百川股份 10天7板;
吉华集团 2天2板;","11只;
百川股份 11天8板;
吉华集团 3天3板;
金牛化工 4天3板;
醋化股份 2天2板;
华尔泰 3天2板;",,
商业航天,7只;,"2只;
顶固集创 2天2板;",,,2只;
发电机概念,5只;,"3只;
联德股份 2天2板;",,"5只;
应流股份 4天2板;",
算力工程,"4只;
协鑫能科 2天2板;","4只;
大位科技 2天2板;","5只;
大位科技 3天3板;
利通电子 3天2板;","10只;
大位科技 4天4板;
豫能控股 2天2板;",
AI应用,名雕股份 7天6板;,"7只;
风语筑 2天2板;",2只;,"6只;
掌阅科技 4天4板;
德才科技 4天4板;
海量数据 5天3板;","8只;
掌阅科技 5天5板;
风语筑 5天3板;
国安股份 4天2板;"
芯片产业链,4只;,"2只;
皇庭国际 4天3板;",,7只;,"6只;
国风新材 4天2板;"
智能电网,4只;,,,"9只;
望变电气 4天2板;",
光通信,天通股份 7天4板;,"4只;
长飞光纤 2天2板;",,"8只;
特发信息 7天4板;
金时科技 2天2板;","3只;
金时科技 3天3板;"
培育钻石,1只;,,,,
其他,"6只;
凯龙高科 4天4板;
韩建河山 5连板;
京投发展 5天4板;
金富科技 3天3板;
杉杉股份 2天2板;
德美化工 2天2板;","振德医疗 2天2板;
嘉美包装 4天2板;","金富科技 5天4板;
小崧股份 2天2板;
海量数据 4天2板;","雅博股份 4天4板;
美邦股份 2天2板;","豫能控股 3天3板;
美邦股份 3天3板;
汉缆股份 2天2板;"
AI语料,,"5只;
荣信文化 2天2板;",,,
玻纤,,,9只;,"4只;
宏和科技 2天2板;
山东玻纤 2天2板;
中材科技 2天2板;
卓郎智能 2天2板;",
有色金属概念,,,"6只;
翔鹭钨业 4天2板;","7只;
翔鹭钨业 5天3板;
江钨装备 2天2板;
章源钨业 2天2板;
东方钽业 2天2板;",
稀土永磁,,,2只;,,
光纤光缆,,,"2只;
特发信息 6天3板;",,
液冷IDC,,,,"12只;
川润股份 4天2板;",
机器人概念,,,,3只;,"3只;
克来机电 4天2板;"
航运,,,,2只;,
智能驾驶,,,,,5只;
军工,,,,,3只;
