类别,周一0105,周二0106,周三0107,周四0108,周五0109
市场焦点股,"锋龙股份 7连板:
圣晖集成 9天5板;
雷科防务 4连板;
友邦吊顶 3连板;
南兴股份 3连板;","盛通能源 13连板;
嘉美包装 16天12板;
锋龙股份 8连板;
浙江世宝 14天7板;
鲁信创投 8天6板;
雷科防务 5连板;","胜通能源 14连板;
锋龙股份 9连板;
鲁信创投 9天7板2连板;
雷科防务 6连板;
友邦吊顶 5连板;","锋龙股份 10连板;
神剑股份 14天10板;
鲁信创投 10天8板3连板;
南兴股份 6天5板;
金风科技 9天5板3连板;","锋龙股份 11连板;
鲁信创投 11天9板4连板;
金风科技 10天6板4连板;
志特新材 5连板;"
人脑工程,"31只;
海格通信 4天2板;","19只;
海格通信 5天3板;
三博脑科 2天2板;
美好医疗 2天2板;
创新医疗 2天2板;
岩山科技 2天2板;
国际医学 2天2板;
南京熊猫 2天2板;
倍益康 2天2板;
塞力医疗 2天2板;
嘉事堂 2天2板;
盈趣科技 2天2板;
爱朋医疗 2天2板;
翔宇医疗 2天2板;
伟思医疗 2天2板;
麦澜德 2天2板;
谱尼测试 2天2板;
熵基科技 2天2板;
诚益通 2天2板;
荣泰健康 2天2板;","5只;
岩山科技 3天3板;
创新医疗 3天3板;
南京熊猫 3天3板;
嘉事堂 3天3板;
美好医疗 3天3板;","8只;
普利特 4天4板;
创新医疗 4天4板;
南京熊猫 4天4板;
岩山科技 4天4板;
塞力医疗 4天3板;
爱朋医疗 4天3板;
谱尼测试 4天3板;",
商业航天,"14只;
雷科防务 4天4板;
勘设股份 4天3板;
北斗星通 5天3板;
中国卫通 5天3板;
烽火通信 2天2板;
城建发展 2天2板;
东方通信 3天2板;","17只;
鲁信创投 8天6板;
雷科防务 5天5板;
北斗星通 10天5板;
中国卫通 6天4板;
城建发展 3天3板;
普利特 2天2板;
银河电子 2天2板;
航天长峰 2天2板;
航天电子 3天2板;
合众思壮 4天2板;","14只;
鲁信创投 9天7板;
雷科防务 6天6板;
城建发展 4天4板;
金风科技 8天4板;
普利特 3天3板;
银河电子 3天3板;
北方导航 2天2板;
江顺科技 2天2板;","29只;
鲁信创投 10天8板;
金风科技 9天5板;
银河电子 4天4板;
江顺科技 3天3板;
航天电子 5天3板;
邵阳液压 2天2板;
东方明珠 2天2板;
通宇通讯 2天2板;
钧达股份 3天2板;
航天电器 3天2板;","26只:
鲁信创投 11天9板;
金风科技 10天6板;
银河电子 5天5板;
中国卫通 9天5板;
航天电子 10天5板;
江顺科技 4天4板;
东方明珠 3天3板;
巨力索具 2天2板;
杭萧钢构 2天2板;
中衡设计 2天2板;
乾照光电 2天2板;"
芯片产业链,13只;,"3只;
金海通 2天2板;
亚翔集成 2天2板;
立昂微 2天2板;",6只;,"7只;
彤程新材 2天2板;","1只;
三孚股份 2天2板;"
AI应用,"11只;
南兴股份 3天3板;
利欧股份 2天2板;
蓝色光标 2天2板;","6只;
南兴股份 4天4板;
快意电梯 2天2板;
引力传媒 2天2板;
志特新材 2天2板;","3只;
引力传媒 3天3板;
快意电梯 3天3板;
志特新材 3天3板;","8只;
南兴股份 6天5板;
志特新材 4天4板;
快意电梯 4天4板;","25只;
快意电梯 5天5板;
志特新材 5天5板;
引力传媒 5天4板;
亚联发展 2天2板;
派斯林 2天2板;"
锂电池,"5只;
国晟科技 4天2板;","4只;
国晟科技 5天3板;",,,
创新药,3只;,,1只;,"2只;
比贝特 2天2板;",4只;
机器人概念,"3只;
锋龙股份 6天6板;",,"7只;
胜通能源 17天14板;
锋龙股份 8天8板;","5只;
锋龙股份 9天9板;","8只;
锋龙股份 11连板;
凯迪股份 3天2板;"
AI眼镜,2只;,,,,
光通信,2只;,,"4只;
美克家居 3天3板;
可川科技 3天2板;",,
有色金属概念,2只;,8只;,1只;,,4只;
智能驾驶,"2只;
索菱股份 2天2板;","11只;
索菱股份 3天3板;
山子高科 4天2板;",,,
可控核聚变,"1只;
王子新材 2天2板;",,,,
其他,"德力股份 8天4板;
顺控发展 2天2板;
友邦吊顶 2天2板;
农心科技 2天2板;
凯瑞德 4天2板;
航天机电 4天2板;","嘉美包装 13天11板;
锋龙股份 7天7板;
友邦吊顶 3天3板;
农心科技 3天3板;
美克家居 2天2板;
金房能源 2天2板;
和泰机电 2天2板;","友邦吊顶 4天4板;
鹭燕医药 2天2板;
乐凯胶片 4天2板;","美克家居 4天4板;
鹭燕医药 3天3板;
乐凯胶片 5天3板;
上海九百 3天2板;","永和智能 4天2板;
洲际油气 4天2板;"
化工,,"14只;
三房巷 2天2板;",,,
金融科技,,"4只;
御银股份 5天4板;",,,
固态电池,,2只;,,,
面板,,2只;,,,
高铁轨交,,2只;,,,
光刻胶,,,"7只;
国风新材 3天2板;",,
核电,,,"6只;
远东股份 2天2板;","10只;
远东股份 3天3板;
弘讯科技 2天2板;
中国一重 2天2板;
国机重装 2天2板;
雪人集团 2天2板;
中国核建 2天2板;","4只;
弘讯科技 3天3板;
中国一重 3天3板;"
煤炭,,,3只;,,
智能电网,,,3只;,,
存储器,,,"2只;
盈新发展 2天2板;",,
算力工程,,,2只;,,"4只;
直真科技 2天2板;"
旅游酒店,,,1只;,,
军工,,,,"5只;
展鹏科技 2天2板;",
食品饮料,,,,2只;,
商业零售,,,,,3只;
生物质能,,,,,1只;
