类别,周一0316,周二0317,周三0318,周四0319,周五0320
市场焦点股,"法尔胜 16天9板3连板;
顺钠股份 9天5板;
赤天化 7天4板2连板;
三房巷 3连板;","法尔胜 17天10板4连板;
顺钠股份 10天6板2连板;
赤天化 8天5板3连板;
卓郎智能 10天5板2连板;
三房巷 4连板;","中南文化 8天6板;
三房巷 5连板;
瑞斯康达 7天4板;","华电能源 8天5板;
深华发A 4连板;
华电辽能 4连板;","华电能源 9天6板2连板;
深华发A 5连板;
华电辽能 5连板;"
存储器,10只;,,"8只;
朗科科技 3天2板;",,
PCB,5只;,,4只;,,
深海科技,5只;,,,,
光通信,"4只;
法尔胜 3天3板;",,"4只;
瑞斯康达 7天4板;
可川科技 3天2板;",2只;,4只;
航运,3只;,,,,
化工,"3只;
赤天化 7天4板;
三房巷 3天3板;","赤天化 12天6板;
三房巷 4天4板;
潞化科技 4天3板;
金正大 3天2板;","2只;
三房巷 5天5板;",3只;,
复合集流体,2只;,,,,
食品饮料,2只;,,,,
算力工程,2只;,,16只;,"8只;
奥瑞德 2天2板;
美利云 2天2板;",
智能电网,"2只;
鼎信通讯 5天3板;","2只;
顺钠股份 2天2板;",7只;,,
电力,2只;,"5只;
节能风电 5天3板;
华电辽能 2天2板;
江苏新能 4天2板;","7只;
中南文化 8天6板;
华电辽能 3天3板;","8只;
华电辽能 4天4板;
韶能股份 2天2板;
粤电力A 2天2板;
东方新能 4天2板;","9只;
华电能源 9天6板;
华电辽能 5天5板;
韶能股份 3天3板;
东方新能 5天3板;
兆新股份 4天2板;"
其他,"京投发展 2天2板;
亚翔集成 2天2板;
锡华科技 2天2板;
国晟科技 4天2板;
裕同科技 4天2板;","法尔胜 4天4板;
京投发展 3天3板;
亚翔集成 3天3板;
深华发A 2天2板;
卓郎智能 2天2板;
松霖科技 4天2板;
中复神鹰 4天2板;","深华发A 3天3板;
酒钢宏兴 4天3板;
基蛋生物 2天2板;","深华发A 4天4板;
大胜达 2天2板;
九安医疗 2天2板;
中油资本 4天2板;","深华发A 5天5板;
京投发展 6天4板;
大胜达 3天3板;
国新能源 2天2板;"
光伏,,"4只;
国晟科技 8天4板;
雅博股份 3天2板;","2只;
雅博股份 4天3板;",,"3只;
国晟科技 8天4板;"
房地产概念,,3只;,,,
氢能,,"3只;
安泰集团 3天2板;",,,
钢铁,,"2只;
酒钢宏兴 3天2板;",,,
风电,,"2只;
锡华科技 3天3板;",,,
储能,,"2只;
正泰电源 5天3板;
纳百川 4天2板;",,,"12只;
正泰电源 8天4板;"
液冷IDC,,,8只;,,
商业航天,,,"6只;
顺灏股份 2天2板;",,
芯片产业链,,,6只;,,
创新药,,,2只;,,
天然气,,,,7只;,
体育产业,,,,,2只;
