类别,周一0126,周二0127,周三0128,周四0129,周五0130
市场焦点股,"白银有色 5连板;
九鼎新材 9天5板;
四川黄金 8天4板;
明阳智能 3连板;
瑞华泰 2连板;","白银有色 6连板;
四川黄金 9天5板2连板;
拓日新能 10天5板3连板;
招金黄金 7天4板2连板;
天地在线 7天4板2连板;
航发科技 7天4板;","巨力索具 15天8板;
白银有色 7连板;
四川黄金 10天6板3连板;
招金黄金 8天5板3连板;
中农联合 4连板;
豫光金铅 4连板;
中国黄金 4连板;","白银有色 8连板;
招金黄金 9天6板4连板;
中国黄金 5连板;
豫光金铅 5连板;
洲际油气 7天5板2连板;
天地在线 9天5板","天地在线 10天6板2连板;
湖南黄金 5连板;
百川股份 3连板;
天奇股份 5天3板;"
有色金属概念,"25只;
白银有色 5天5板;
四川黄金 8天4板;
湖南白银 5天3板;
招金黄金 6天3板;
豫光金铅 2天2板;
盛达资源 2天2板;
锌业股份 2天2板;
铜陵有色 2天2板;
中钨高新 4天2板;
西部黄金 4天2板;","8只;
白银有色 6天6板;
四川黄金 9天5板;
招金黄金 7天4板;
豫光金铅 3天3板;
湖南黄金 2天2板;
金徽股份 2天2板;","44只;
白银有色 7天7板;
四川黄金 10天6板;
招金黄金 8天5板;
豫光金铅 4天4板;
湖南白银 7天4板;
湖南黄金 3天3板;
金徽股份 3天3板;
锌业股份 4天3板;
铜陵有色 4天3板;
威领股份 4天3板;
盛达资源 4天3板;
西部黄金 6天3板;
晓程科技 3天2板;
恒邦股份 3天2板;
金黄金中 3天2板;
翔鹭钨业 3天2板;
华峰铝业 4天2板;","13只;
白银有色 8天8板;
招金黄金 9天6板;
豫光金铅 5天5板;
湖南黄金 4天4板;
铜陵有色 5天4板;
西部黄金 7天4板;
怡球资源 2天2板;
百通能源 2天2板;
北方铜业 2天2板;
云南铜业 2天2板;",
医药生物,13只;,"2只;
凯普生物 2天2板;",,,
机器人概念,"10只;
运机集团 3天2板;
欧龙新能 4天2板;","5只;
天奇股份 2天2板;",,,"3只;
天奇股份 5天3板;"
光伏,"8只;
拓日新能 2天2板;
明阳智能 3连板;
协鑫集成 2天2板;
亚玛顿 2天2板;","10只;
宇晶股份 8天4板;
赛伍技术 3天2板;
金辰股份 3天2板;",,,
算力工程,7只;,2只;,"2只;
美利云 3天2板;",,2只;
医疗器械,5只;,,,,
AI应用,"5只;
浙文互联 12天6板;
天地在线 6天3板;","8只;
天地在线 7天4板;
达安基因 2天2板;
光正眼科 2天2板;",4只;,"15只;
天地在线 9天5板;
浙文互联 8天4板;
苏博特 3天2板;","5只;
天地在线 10天6板;"
业绩超预期,4只;,2只;,3只;,4只;,4只;
油气设服,"3只;
洲际油气 4天3板;",,"7只;
洲际油气 6天4板;
中曼石油 3天2板;","9只;
洲际油气 7天5板;
中曼石油 4天3板;
准油股份 2天2板;
石化油服 2天2板;
通源石油 2天2板;",
化工,"3只;
红宝丽 5天3板;
中农联合 2天2板;",,"9只;
中农联合 4天4板;","9只;
百川股份 2天2板;
闰土股份 2天2板;","5只;
百川股份 3天3板;
万丰股份 2天2板;"
商业航天,"3只;
九鼎新材 9天5板;
瑞华泰 2天2板;","8只;
拓日新能 3天3板;","5只;
巨力索具 6天4板;",7只;,4只;
光通信,3只;,6只;,,,12只;
黄金概念,"2只;
中国黄金 2天2板;",,"7只;
中国黄金 4天4板;
金一文化 4天2板;",,
其他,"2只;
威领股份 2天2板;
德龙汇能 2天2板;","中农联合 3天3板;
平潭发展 3天2板;
正泰电源 3天2板;","可川科技 6天3板;
哈森股份 3天2板;","中国黄金 5天5板;
哈森股份 4天3板;","湖南黄金 5天5板;
横店影视 2天2板;"
芯片产业链,,20只;,"8只;
康强电子 2天2板;",,8只;
军工,,"4只;
航发科技 7天4板;",,,
培育钻石,,"3只;
中国黄金 3天3板;",,,
煤炭,,,2只;,,
液冷IDC,,,2只;,,
PCB,,,2只;,,
创新药,,,2只;,,
食品饮料,,,,20只;,"4只;
皇台酒业 2天2板;
中信尼雅 2天2板;"
房地产概念,,,,8只;,
体育产业,,,,2只;,
农业种植,,,,,"6只;
农发种业 3天2板;"
