类别,周一0202,周二0203,周三0204,周四0205,周五0206
市场焦点股,"皇台酒业 3连板;
横店影视 3连板;
万丰股份 3连板;","湖南黄金 7天6板;
巨力索具 10天5板;
皇台酒业 4连板;
横店影视 4连板;
万丰股份 4连板;
百川股份 5天4板;","巨力索具 11天6板2连板;
洲际油气 11天6板;
名雕股份 4连板;
杭电股份 4连板;
民爆光电 3连板;","天地在线 14天7板;
横店影视 6天5板;
民爆光电 4连板;","洲际油气 13天7板;
凯龙高科 3连板;
名雕股份 6天5板;
杭电股份 6天5板;"
智能电网,"14只;
白云电器 2天2板;","7只;
顺钠股份 2天2板;
三变科技 2天2板;","4只;
顺钠股份 3天3板;",,"4只;
三变科技 5天3板;"
商业航天,4只;,"15只;
中超控股 2天2板;
润贝航科 4天2板;","2只;
巨力索具 11天6板;","3只;
神剑股份 3天2板;","2只;
神剑股份 4天3板;"
AI应用,"4只;
名雕股份 2天2板;
珠江钢琴 3天2板;","4只;
名雕股份 3天3板;",,"3只;
遥望科技 4天2板;","3只;
名雕股份 6天5板;"
食品饮料,"3只;
皇台酒业 3天3板;
金徽酒 3天2板;",,,5只;,
腾讯概念,"3只;
利通电子 2天2板;",,,,
光通信,"3只;
杭电股份 2天2板;
通鼎互联 2天2板;","18只;
杭电股份 3天3板;
天通股份 3天2板;","3只;
杭电股份 4天4板;
天通股份 4天3板;",,
其他,"横店影视 3天3板;
万丰股份 3天3板;
西上海 2天2板;
茂业商业 2天2板;
新华百货 3天2板;","横店影视 4天4板;
皇台酒业 4天4板;
新华百货 4天3板;",民爆光电 3天3板;,"民爆光电 4天4板;
京投发展 3天3板;
凯龙高科 2天2板;
陕西黑猫 2天2板;
韩建河山 2天2板;
兴民智通 2天2板;
协鑫集成 2天2板;
丰倍生物 2天2板;","韩建河山 4连板;
金富科技 2天2板;
田中精机 2天2板;"
光伏,,22只;,"17只;
双良节能 2天2板;
国晟科技 2天2板;
泽润新能 2天2板;","3只;
协鑫集成 3天3板;",
算力工程,,"7只;
浙文互联 8天4板;",,"2只;
群兴玩具 4天2板;",
发电机概念,,5只;,,,
有色金属概念,,"5只;
湖南黄金 7天6板;",,,3只;
化工,,"5只;
万丰股份 4天4板;
百川股份 5天4板;
红宝丽 3天2板;",,2只;,"9只;
百川股份 8天5板;"
雄安新区,,5只;,,,
液冷IDC,,4只;,,,
芯片产业链,,4只;,,,
PCB,,"3只;
民爆光电 2天2板;",,,
机器人概念,,3只;,"5只;
银轮股份 2天2板;",,"9只;
凯龙高科 3天3板;"
煤炭,,,13只;,,
氢能,,,8只;,,
房地产概念,,,"5只;
京投发展 2天2板;",,
油气设服,,,"3只;
中集集团 2天2板;",,"2只;
洲际油气 13天7板;"
家居装饰,,,"3只;
名雕股份 4天4板;",,
民航,,,2只;,,
商业零售,,,2只;,"5只;
茂业商业 5天3板;
杭州解百 2天2板;","2只;
杭州解百 3天3板;
皇庭国际 2天2板;"
福建,,,,"6只;
坤彩科技 2天2板;",
影视,,,,"4只;
横店影视 6天5板;",
固态电池,,,,3只;,"9只;
科瑞技术 4天2板;"
中药,,,,,3只;
光纤光缆,,,,,"2只;
杭电股份 6天5板;"
算力租赁,,,,,2只;
